Code,Label,MX
8017,Cuauhtemoc,X
8018,Cusihuiriachi,X
8019,Chihuahua,X
Code,Label,MX
,,2000
8020,Chinipas,X
8021,Delicias,X
8022,Dr. Belisario Dominguez,X
8023,Galeana,X
8024,Santa Isabel,X
8025,Gomez Farias,X
8026,Gran Morelos,X
8027,Guachochi,X
8028,Guadalupe,X
8029,Guadalupe y Calvo,X
8030,Guazapares,X
8031,Guerrero,X
8032,Hidalgo del Parral,X
8033,Huejotitan,X
8034,Ignacio Zaragoza,X
8035,Janos,X
8036,Jimenez,X
8037,Juarez,X
8038,Julimes,X
8039,Lopez,X
8040,Madera,X
8041,Maguarichi,X
8042,Manuel Benavides,X
8043,Matachi,X
8044,Matamoros,X
Code,Label,MX
,,2000
8045,Meoqui,X
8046,Morelos,X
8047,Moris,X
8048,Namiquipa,X
8049,Nonoava,X
8050,Nuevo Casas Grandes,X
8051,Ocampo,X
8052,Ojinaga,X
8053,Praxedis G. Guerrero,X
8054,Riva Palacio,X
8055,Rosales,X
8056,Rosario,X
8057,San Francisco de Borja,X
8058,San Francisco de Conchos,X
8059,San Francisco del Oro,X
8060,Santa Barbara,X
8061,Satevo,X
8062,Saucillo,X
8063,Temosachi,X
8064,"Tule, El",X
8065,Urique,X
8066,Uruachi,X
8067,Valle de Zaragoza,X
,Distrito Federal,
9002,Azcapotzalco,X
Code,Label,MX
,,2000
9003,Coyoacan,X
9004,Cuajimalpa de Morelos,X
9005,Gustavo A. Madero,X
9006,Iztacalco,X
9007,Iztapalapa,X
9008,"Magdalena Contreras, La",X
9009,Milpa Alta,X
9010,Alvaro Obregon,X
9011,Tlahuac,X
9012,Tlalpan,X
9013,Xochimilco,X
9014,Benito Juarez,X
9015,Cuauhtemoc,X
9016,Miguel Hidalgo,X
9017,Venustiano Carranza,X
,Durango,
10001,Canatlan,X
10002,Canelas,X
10003,Coneto de Comonfort,X
10004,Cuencame,X
10005,Durango,X
10006,General Simon Bolivar,X
10007,Gomez Palacio,X
10008,Guadalupe Victoria,X
10009,Guanacevi,X
Code,Label,MX
,,2000
10010,Hidalgo,X
10011,Inde,X
10012,Lerdo,X
10013,Mapimi,X
10014,Mezquital,X
10015,Nazas,X
10016,Nombre de Dios,X
10017,Ocampo,X
10018,"Oro, El",X
10019,Otaez,X
10020,Panuco de Coronado,X
10021,Penon Blanco,X
10022,Poanas,X
10023,Pueblo Nuevo,X
10024,Rodeo,X
10025,San Bernardo,X
10026,San dimas,X
10027,San Juan de Guadalupe,X
10028,San Juan del Rio,X
10029,San Luis del Cordero,X
10030,San Pedro del Gallo,X
10031,Santa Clara,X
10032,Santiago Papasquiaro,X
10033,Suchil,X
10034,Tamazula,X
Code,Label,MX
,,2000
10035,Tepehuanes,X
10036,Tlahualilo,X
10037,Topia,X
10038,Vicente Guerrero,X
10039,Nuevo Ideal,X
,Guanajuato,
11001,Abasolo,X
11002,Acambaro,X
11003,Allende,X
11004,Apaseo el Alto,X
11005,Apaseo el Grande,X
11006,Atarjea,X
11007,Celaya,X
11008,Manuel Doblado,X
11009,Comonfort,X
11010,Coroneo,X
11011,Cortazar,X
11012,Cueramaro,X
11013,Doctor Mora,X
11014,Dolores Hidalgo,X
11015,Guanajuato,X
11016,Huanimaro,X
11017,Irapuato,X
11018,Jaral del Progreso,X
11019,Jerecuaro,X
Code,Label,MX
,,2000
11020,Leon,X
11021,Moroleon,X
11022,Ocampo,X
11023,Penjamo,X
11024,Pueblo Nuevo,X
11025,Purisima del Rincon,X
11026,Romita,X
11027,Salamanca,X
11028,Salvatierra,X
11029,San Diego de la Union,X
11030,San Felipe,X
11031,San Francisco del Rincon,X
11032,San Jose Iturbide,X
11033,San Luis de la Paz,X
11034,Santa Catarina,X
11035,Santa Cruz de Juventino Rosas,X
11036,Santiago Maravatio,X
11037,Silao,X
11038,Tarandacuao,X
11039,Tarimoro,X
11040,Tierra Blanca,X
11041,Uriangato,X
11042,Valle de Santiago,X
11043,Victoria,X
11044,Villagran,X
Code,Label,MX
,,2000
11045,Xichu,X
11046,Yuriria,X
,Guerrero,
12001,Acapulco de Juarez,X
12002,Ahuacuotzingo,X
12003,Ajuchitlan del Progreso,X
12004,Alcozauca de Guerrero,X
12005,Alpoyeca,X
12006,Apaxtla,X
12007,Arcelia,X
12008,Atenango del Rio,X
12009,Atlamajalcingo del Monte,X
12010,Atlixtac,X
12011,Atoyac de Alvarez,X
12012,Ayutla de los Libres,X
12013,Azoyu,X
12014,Benito Juarez,X
12015,Buenavista de Cuellar,X
12016,Coahuayutla de Jose Maria Izazaga,X
12017,Cocula,X
12018,Copala,X
12019,Copalillo,X
12020,Copanatoyac,X
12021,Coyuca de Benitez,X
12022,Coyuca de Catalan,X
Code,Label,MX
,,2000
12023,Cuajinicuilapa,X
12024,Cualac,X
12025,Cuautepec,X
12026,Cuetzala del Progreso,X
12027,Cutzamala de Pinzon,X
12028,Chilapa de Alvarez,X
12029,Chilpancingo de los Bravo,X
12030,Florencio Villarreal,X
12031,General Canuto A. Neri,X
12032,General Heliodoro Castillo,X
12033,Huamuxtitlan,X
12034,Huitzuco de los Figueroa,X
12035,Iguala de la Independencia,X
12036,Igualapa,X
12037,Ixcateopan de Cuauhtemoc,X
12038,Jose Azueta,X
12039,Juan R. Escudero,X
12040,Leonardo Bravo,X
12041,Malinaltepec,X
12042,Martir de Cuilapan,X
12043,Metlatonoc,X
12044,Mochitlan,X
12045,Olinala,X
12046,Ometepec,X
12047,Pedro Ascencio Alquisiras,X
Code,Label,MX
,,2000
12048,Petatlan,X
12049,Pilcaya,X
12050,Pungarabato,X
12051,Quechultenango,X
12052,San Luis Acatlan,X
12053,San Marcos,X
12054,San Miguel Totolapan,X
12055,Taxco de Alarcon,X
12056,Tecoanapa,X
12057,Tecpan de Galeana,X
12058,Teloloapan,X
12059,Tepecoacuilco de Trujano,X
12060,Tetipac,X
12061,Tixtla de Guerrero,X
12062,Tlacoachistlahuaca,X
12063,Tlacoapa,X
12064,Tlalchapa,X
12065,Tlalixtaquilla de Maldonado,X
12066,Tlapa de Comonfort,X
12067,Tlapehuala,X
12068,"Union de Isidoro Montes de Oca, La",X
12069,Xalpatlahuac,X
12070,Xochihuehuetlan,X
12071,Xochistlahuaca,X
12072,Zapotitlan Tablas,X
Code,Label,MX
,,2000
12073,Zirandaro,X
12074,Zitlala,X
12075,Eduardo Neri,X
12076,Acatepec,X
,Hidalgo,
13001,Acatlan,X
13002,Acaxochitlan,X
13003,Actopan,X
13004,Agua Blanca de Iturbide,X
13005,Ajacuba,X
13006,Alfajayucan,X
13007,Almoloya,X
13008,Apan,X
13009,"Arenal, El",X
13010,Atitalaquia,X
13011,Atlapexco,X
13012,Atotonilco el Grande,X
13013,Atotonilco de Tula,X
13014,Calnali,X
13015,Cardonal,X
13016,Cuautepec de Hinojosa,X
13017,Chapantongo,X
13018,Chapulhuacan,X
13019,Chilcuautla,X
13020,Eloxochitlan,X
Code,Label,MX
,,2000
13021,Emiliano Zapata,X
13022,Epazoyucan,X
13023,Francisco I. Madero,X
13024,Huasca de Ocampo,X
13025,Huautla,X
13026,Huazalingo,X
13027,Huehuetla,X
13028,Huejutla de Reyes,X
13029,Huichapan,X
13030,Ixmiquilpan,X
13031,Jacala de Ledezma,X
13032,Jaltocan,X
13033,Juarez Hidalgo,X
13034,Lolotla,X
13035,Metepec,X
13036,San Agustin Metzquititlan,X
13037,Metztitlan,X
13038,Mineral del Chico,X
13039,Mineral del Monte,X
13040,"Mision, La",X
13041,Mixquiahuala de Juarez,X
13042,Molango de Escamilla,X
13043,Nicolas Flores,X
13044,Nopala de Villagran,X
13045,Omitlan de Juarez,X
Code,Label,MX
,,2000
13046,San Felipe Orizatlan,X
13047,Pacula,X
13048,Pachuca de Soto,X
13049,Pisaflores,X
13050,Progreso de Obregon,X
13051,Mineral de La Reforma,X
13052,San Agustin Tlaxiaca,X
13053,San Bartolo Tutotepec,X
13054,San Salvador,X
13055,Santiago de Anaya,X
13056,Santiago Tulantepec de Lugo Guerrero,X
13057,Singuilucan,X
13058,Tasquillo,X
13059,Tecozautla,X
13060,Tenango de Doria,X
13061,Tepeapulco,X
13062,Tepehuacan de Guerrero,X
13063,Tepeji del Rio de Ocampo,X
13064,Tepetitlan,X
13065,Tetepango,X
13066,Villa de Tezontepec,X
13067,Tezontepec de Aldama,X
13068,Tianguistengo,X
13069,Tizayuca,X
13070,Tlahuelilpan,X
Code,Label,MX
,,2000
13071,Tlahuiltepa,X
13072,Tlanalapa,X
13073,Tlanchinol,X
13074,Tlaxcoapan,X
13075,Tolcayuca,X
13076,Tula de Allende,X
13077,Tulancingo de Bravo,X
13078,Xochiatipan,X
13079,Xochicoatlan,X
13080,Yahualica,X
13081,Zacualtipan de Angeles,X
13082,Zapotlan de Juarez,X
13083,Zempoala,X
13084,Zimapan,X
,Jalisco,
14001,Acatic,X
14002,Acatlan de Juarez,X
14003,Ahualulco de Mercado,X
14004,Amacueca,X
14005,Amatitan,X
14006,Ameca,X
14007,San Juanito de Escobedo,X
14008,Arandas,X
14009,"Arenal, El",X
14010,Atemajac de Brizuela,X
Code,Label,MX
,,2000
14011,Atengo,X
14012,Atenguillo,X
14013,Atotonilco el Alto,X
14014,Atoyac,X
14015,Autlan de Navarro,X
14016,Ayotlan,X
14017,Ayutla,X
14018,"Barca, La",X
14019,Bolanos,X
14020,Cabo Corrientes,X
14021,Casimiro Castillo,X
14022,Cihuatlan,X
14023,Zapotlan el Grande,X
14024,Cocula,X
14025,Colotlan,X
14026,Concepcion de Buenos Aires,X
14027,Cuautitlan de Garcia Barragan,X
14028,Cuautla,X
14029,Cuquio,X
14030,Chapala,X
14031,Chimaltitan,X
14032,Chiquilistlan,X
14033,Degollado,X
14034,Ejutla,X
14035,Encarnacion de Diaz,X
Code,Label,MX
,,2000
14036,Etzatlan,X
14037,"Grullo, El",X
14038,Guachinango,X
14039,Guadalajara,X
14040,Hostotipaquillo,X
14041,Huejucar,X
14042,Huejuquilla el Alto,X
14043,"Huerta, La",X
14044,Ixtlahuacan de los Membrillos,X
14045,Ixtlahuacan del Rio,X
14046,Jalostotitlan,X
14047,Jamay,X
14048,Jesus Maria,X
14049,Jilotlan de los Dolores,X
14050,Jocotepec,X
14051,Juanacatlan,X
14052,Juchitlan,X
14053,Lagos de Moreno,X
14054,"Limon, El",X
14055,Magdalena,X
14056,Santa Maria del Oro,X
14057,"Manzanilla de la Paz, La",X
14058,Mascota,X
14059,Mazamitla,X
14060,Mexticacan,X
Code,Label,MX
,,2000
14061,Mezquitic,X
14062,Mixtlan,X
14063,Ocotlan,X
14064,Ojuelos de Jalisco,X
14065,Pihuamo,X
14066,Poncitlan,X
14067,Puerto Vallarta,X
14068,Villa Purificacion,X
14069,Quitupan,X
14070,"Salto, El",X
14071,San Cristobal de la Barranca,X
14072,San Diego de Alejandria,X
14073,San Juan de los Lagos,X
14074,San Julian,X
14075,San Marcos,X
14076,San Martin de Bolanos,X
14077,San Martin de Hidalgo,X
14078,San Miguel el Alto,X
14079,Gomez Farias,X
14080,San Sebastian del Oeste,X
14081,Santa Maria de los Angeles,X
14082,Sayula,X
14083,Tala,X
14084,Talpa de Allende,X
14085,Tamazula de Gordiano,X
Code,Label,MX
,,2000
14086,Tapalpa,X
14087,Tecalitlan,X
14088,Tecolotlan,X
14089,Techaluta de Montenegro,X
14090,Tenamaxtlan,X
14091,Teocaltiche,X
14092,Teocuitatlan de Corona,X
14093,Tepatitlan de Morelos,X
14094,Tequila,X
14095,Teuchitlan,X
14096,Tizapan el Alto,X
14097,Tlajomulco de Zuniga,X
14098,Tlaquepaque,X
14099,Toliman,X
14100,Tomatlan,X
14101,Tonala,X
14102,Tonaya,X
14103,Tonila,X
14104,Totatiche,X
14105,Tototlan,X
14106,Tuxcacuesco,X
14107,Tuxcueca,X
14108,Tuxpan,X
14109,Union de San Antonio,X
14110,Union de Tula,X
Code,Label,MX
,,2000
14111,Valle de Guadalupe,X
14112,Valle de Juarez,X
14113,San Gabriel,X
14114,Villa Corona,X
14115,Villa Guerrero,X
14116,Villa Hidalgo,X
14117,Canadas de Obregon,X
14118,Yahualica de Gonzalez Gallo,X
14119,Zacoalco de Torres,X
14120,Zapopan,X
14121,Zapotiltic,X
14122,Zapotitlan de Vadillo,X
14123,Zapotlan del Rey,X
14124,Zapotlanejo,X
,Mexico,
15001,Acambay,X
15002,Acolman,X
15003,Aculco,X
15004,Almoloya de Alquisiras,X
15005,Almoloya de Juarez,X
15006,Almoloya del Rio,X
15007,Amanalco,X
15008,Amatepec,X
15009,Amecameca,X
15010,Apaxco,X
Code,Label,MX
,,2000
15011,Atenco,X
15012,Atizapan,X
15013,Atizapan de Zaragoza,X
15014,Atlacomulco,X
15015,Atlautla,X
15016,Axapusco,X
15017,Ayapango,X
15018,Calimaya,X
15019,Capulhuac,X
15020,Coacalco de Berriozabal,X
15021,Coatepec Harinas,X
15022,Cocotitlan,X
15023,Coyotepec,X
15024,Cuautitlan,X
15025,Chalco,X
15026,Chapa de Mota,X
15027,Chapultepec,X
15028,Chiautla,X
