"Selected Nomen","Native Nomen","Reporter","Reporter Name","Product","Product Name","Partner","Partner Name","Tariff Year","Trade Year","Trade Source","DutyType","Simple Average","Weighted Average","Standard Deviation","Minimum Rate","Maximum Rate","Nbr of Total Lines","Nbr of DomesticPeaks","Nbr of InternationalPeaks","Imports Value in 1000 USD","Binding Coverage"
"I3","H0","484","Mexico","13","MINING OF METAL ORES","840","United States",1995,1995,"CMT","MFN",8.75,9.52,3.73,0,10,18,0,0,17293,
"I3","H0","484","Mexico","13","MINING OF METAL ORES","840","United States",1995,1995,"CMT","PRF",0.75,0.58,1.89,0,6,,,0,17293,
"I3","H0","484","Mexico","14","OTHER MINING AND QUARRYING","840","United States",1991,1991,"CMT","AHS",9.82,6.4,3.15,0,20,90,0,1,129024.533,
"I3","H0","484","Mexico","14","OTHER MINING AND QUARRYING","840","United States",1991,1991,"CMT","MFN",9.82,6.4,3.15,0,20,90,0,1,129024.533,
"I3","H0","484","Mexico","14","OTHER MINING AND QUARRYING","840","United States",1995,1995,"CMT","AHS",0.82,1.49,2.47,0,12,84,0,0,135838,
"I3","H0","484","Mexico","14","OTHER MINING AND QUARRYING","840","United States",1995,1995,"CMT","MFN",9.95,7.31,3.53,0,20,84,0,1,135838,
"I3","H0","484","Mexico","14","OTHER MINING AND QUARRYING","840","United States",1995,1995,"CMT","PRF",0.82,1.49,2.47,0,12,,,0,135838,
"I3","H0","484","Mexico","15","MANUFACTURE OF FOOD PRODUCTS AND BEVERAGES","840","United States",1991,1991,"CMT","AHS",15.49,10.81,5.13,0,20,503,0,247,1588277.015,
"I3","H0","484","Mexico","15","MANUFACTURE OF FOOD PRODUCTS AND BEVERAGES","840","United States",1991,1991,"CMT","MFN",15.49,10.81,5.13,0,20,503,0,247,1588277.015,
"I3","H0","484","Mexico","15","MANUFACTURE OF FOOD PRODUCTS AND BEVERAGES","840","United States",1995,1995,"CMT","AHS",9.09,9.22,6.66,0,20,549,0,165,1758396,
"I3","H0","484","Mexico","15","MANUFACTURE OF FOOD PRODUCTS AND BEVERAGES","840","United States",1995,1995,"CMT","MFN",15.84,13,5.37,0,25,549,0,293,1758396,
"I3","H0","484","Mexico","15","MANUFACTURE OF FOOD PRODUCTS AND BEVERAGES","840","United States",1995,1995,"CMT","PRF",8.79,8.99,6.56,0,20,,,150,1500504,
"I3","H0","484","Mexico","16","MANUFACTURE OF TOBACCO PRODUCTS","840","United States",1991,1991,"CMT","AHS",20,20,0,20,20,3,0,3,85.005,
"I3","H0","484","Mexico","16","MANUFACTURE OF TOBACCO PRODUCTS","840","United States",1991,1991,"CMT","MFN",20,20,0,20,20,3,0,3,85.005,
"I3","H0","484","Mexico","16","MANUFACTURE OF TOBACCO PRODUCTS","840","United States",1995,1995,"CMT","AHS",20,20,0,20,20,7,0,7,958,
"I3","H0","484","Mexico","16","MANUFACTURE OF TOBACCO PRODUCTS","840","United States",1995,1995,"CMT","MFN",20,20,0,20,20,7,0,7,958,
"I3","H0","484","Mexico","16","MANUFACTURE OF TOBACCO PRODUCTS","840","United States",1995,1995,"CMT","PRF",20,20,0,20,20,,,7,958,
"I3","H0","484","Mexico","17","MANUFACTURE OF TEXTILES","840","United States",1991,1991,"CMT","AHS",15.83,16.7,3.25,5,20,685,0,177,331505.387,
"I3","H0","484","Mexico","17","MANUFACTURE OF TEXTILES","840","United States",1991,1991,"CMT","MFN",15.83,16.7,3.25,5,20,685,0,177,331505.387,
"I3","H0","484","Mexico","17","MANUFACTURE OF TEXTILES","840","United States",1995,1995,"CMT","AHS",10.3,8.82,5.24,0,20,706,0,136,1676486.008,
"I3","H0","484","Mexico","17","MANUFACTURE OF TEXTILES","840","United States",1995,1995,"CMT","MFN",15.84,16.28,3.02,5,20,706,0,160,1676486.008,
"I3","H0","484","Mexico","17","MANUFACTURE OF TEXTILES","840","United States",1995,1995,"CMT","PRF",10.26,8.82,5.24,0,20,,,135,1673445.008,
"I3","H0","484","Mexico","18","MANUFACTURE OF WEARING APPAREL; DRESSING AND DYEIN","840","United States",1991,1991,"CMT","AHS",19.25,19.6,3.35,10,20,269,0,231,193131.633,
"I3","H0","484","Mexico","18","MANUFACTURE OF WEARING APPAREL; DRESSING AND DYEIN","840","United States",1991,1991,"CMT","MFN",19.25,19.6,3.35,10,20,269,0,231,193131.633,
"I3","H0","484","Mexico","18","MANUFACTURE OF WEARING APPAREL; DRESSING AND DYEIN","840","United States",1995,1995,"CMT","AHS",10.9,11.14,7.54,0,20,346,0,227,1335445.984,
"I3","H0","484","Mexico","18","MANUFACTURE OF WEARING APPAREL; DRESSING AND DYEIN","840","United States",1995,1995,"CMT","MFN",19.65,19.93,1.59,10,20,346,0,334,1335445.984,
"I3","H0","484","Mexico","18","MANUFACTURE OF WEARING APPAREL; DRESSING AND DYEIN","840","United States",1995,1995,"CMT","PRF",10.86,11.13,7.53,0,20,,,224,1334090.984,
"I3","H0","484","Mexico","19","TANNING AND DRESSING OF LEATHER; MANUFACTURE OF LU","840","United States",1991,1991,"CMT","AHS",16.27,17.82,4.9,5,20,87,0,43,95017.066,
"I3","H0","484","Mexico","19","TANNING AND DRESSING OF LEATHER; MANUFACTURE OF LU","840","United States",1991,1991,"CMT","MFN",16.27,17.82,4.9,5,20,87,0,43,95017.066,
"I3","H0","484","Mexico","19","TANNING AND DRESSING OF LEATHER; MANUFACTURE OF LU","840","United States",1995,1995,"CMT","AHS",10.08,8.82,8.15,0,20,104,0,55,300180,
"I3","H0","484","Mexico","19","TANNING AND DRESSING OF LEATHER; MANUFACTURE OF LU","840","United States",1995,1995,"CMT","MFN",16.13,12.9,5.04,0,20,104,0,70,300180,
"I3","H0","484","Mexico","19","TANNING AND DRESSING OF LEATHER; MANUFACTURE OF LU","840","United States",1995,1995,"CMT","PRF",9.14,8.62,8.02,0,20,,,38,288191,
"I3","H0","484","Mexico","20","MANUFACTURE OF WOOD AND OF PRODUCTS OF WOOD AND CO","840","United States",1991,1991,"CMT","AHS",16.71,14.48,3.42,10,20,105,0,47,253104.024,
"I3","H0","484","Mexico","20","MANUFACTURE OF WOOD AND OF PRODUCTS OF WOOD AND CO","840","United States",1991,1991,"CMT","MFN",16.71,14.48,3.42,10,20,105,0,47,253104.024,
"I3","H0","484","Mexico","20","MANUFACTURE OF WOOD AND OF PRODUCTS OF WOOD AND CO","840","United States",1995,1995,"CMT","AHS",7.98,10.52,5.38,0,16,100,0,11,282712,
"I3","H0","484","Mexico","20","MANUFACTURE OF WOOD AND OF PRODUCTS OF WOOD AND CO","840","United States",1995,1995,"CMT","MFN",16.63,15.52,3.47,10,20,100,0,42,282712,
"I3","H0","484","Mexico","20","MANUFACTURE OF WOOD AND OF PRODUCTS OF WOOD AND CO","840","United States",1995,1995,"CMT","PRF",7.98,10.52,5.38,0,16,,,11,282712,
"I3","H0","484","Mexico","21","MANUFACTURE OF PAPER AND PAPER PRODUCTS","840","United States",1991,1991,"CMT","AHS",9.38,7.76,2.68,0,20,256,0,2,688921.121,
"I3","H0","484","Mexico","21","MANUFACTURE OF PAPER AND PAPER PRODUCTS","840","United States",1991,1991,"CMT","MFN",9.38,7.76,2.68,0,20,256,0,2,688921.121,
"I3","H0","484","Mexico","21","MANUFACTURE OF PAPER AND PAPER PRODUCTS","840","United States",1995,1995,"CMT","AHS",4.95,6.6,4.03,0,16,230,0,1,2000731.984,
"I3","H0","484","Mexico","21","MANUFACTURE OF PAPER AND PAPER PRODUCTS","840","United States",1995,1995,"CMT","MFN",9.43,8.69,2.54,0,20,230,0,2,2000731.984,
"I3","H0","484","Mexico","21","MANUFACTURE OF PAPER AND PAPER PRODUCTS","840","United States",1995,1995,"CMT","PRF",4.49,4.6,3.95,0,16,,,1,1258972,
"I3","H0","484","Mexico","22","PUBLISHING, PRINTING AND REPRODUCTION OF RECORDED ","840","United States",1991,1991,"CMT","AHS",10.54,8.71,7.17,0,20,93,0,23,229428.646,
"I3","H0","484","Mexico","22","PUBLISHING, PRINTING AND REPRODUCTION OF RECORDED ","840","United States",1991,1991,"CMT","MFN",10.54,8.71,7.17,0,20,93,0,23,229428.646,
"I3","H0","484","Mexico","22","PUBLISHING, PRINTING AND REPRODUCTION OF RECORDED ","840","United States",1995,1995,"CMT","AHS",2.15,0.9,4.25,0,16,79,0,3,452919,
"I3","H0","484","Mexico","22","PUBLISHING, PRINTING AND REPRODUCTION OF RECORDED ","840","United States",1995,1995,"CMT","MFN",10.87,9.59,7.09,0,20,79,0,19,452919,
"I3","H0","484","Mexico","22","PUBLISHING, PRINTING AND REPRODUCTION OF RECORDED ","840","United States",1995,1995,"CMT","PRF",2.15,0.9,4.25,0,16,,,3,452919,
"I3","H0","484","Mexico","23","MANUFACTURE OF COKE, REFINED PETROLEUM PRODUCTS AN","840","United States",1991,1991,"CMT","AHS",8.51,8.3,3.49,0,15,54,0,0,1024927.737,
"I3","H0","484","Mexico","23","MANUFACTURE OF COKE, REFINED PETROLEUM PRODUCTS AN","840","United States",1991,1991,"CMT","MFN",8.51,8.3,3.49,0,15,54,0,0,1024927.737,
"I3","H0","484","Mexico","23","MANUFACTURE OF COKE, REFINED PETROLEUM PRODUCTS AN","840","United States",1995,1995,"CMT","AHS",4.39,4.16,3.94,0,12,36,0,0,1064507,
"I3","H0","484","Mexico","23","MANUFACTURE OF COKE, REFINED PETROLEUM PRODUCTS AN","840","United States",1995,1995,"CMT","MFN",8.14,7.17,4.32,0,15,36,0,0,1064507,
"I3","H0","484","Mexico","23","MANUFACTURE OF COKE, REFINED PETROLEUM PRODUCTS AN","840","United States",1995,1995,"CMT","PRF",4.39,4.16,3.94,0,12,,,0,1064507,
"I3","H0","484","Mexico","24","MANUFACTURE OF CHEMICALS AND CHEMICAL PRODUCTS","840","United States",1991,1991,"CMT","AHS",11.15,9.27,3.19,0,20,3120,0,70,2480066.806,
"I3","H0","484","Mexico","24","MANUFACTURE OF CHEMICALS AND CHEMICAL PRODUCTS","840","United States",1991,1991,"CMT","MFN",11.15,9.27,3.19,0,20,3120,0,70,2480066.806,
"I3","H0","484","Mexico","24","MANUFACTURE OF CHEMICALS AND CHEMICAL PRODUCTS","840","United States",1995,1995,"CMT","AHS",4.23,4.13,4.98,0,16,2838,0,45,4688898,
"I3","H0","484","Mexico","24","MANUFACTURE OF CHEMICALS AND CHEMICAL PRODUCTS","840","United States",1995,1995,"CMT","MFN",10.82,9.35,3.9,0,20,2838,0,68,4688898,
"I3","H0","484","Mexico","24","MANUFACTURE OF CHEMICALS AND CHEMICAL PRODUCTS","840","United States",1995,1995,"CMT","PRF",4.22,4.12,4.97,0,16,,,45,4679793,
"I3","H0","484","Mexico","25","MANUFACTURE OF RUBBER AND PLASTICS PRODUCTS","840","United States",1991,1991,"CMT","AHS",15.32,15.36,3.87,0,20,311,0,72,766790.971,
"I3","H0","484","Mexico","25","MANUFACTURE OF RUBBER AND PLASTICS PRODUCTS","840","United States",1991,1991,"CMT","MFN",15.32,15.36,3.87,0,20,311,0,72,766790.971,
"I3","H0","484","Mexico","25","MANUFACTURE OF RUBBER AND PLASTICS PRODUCTS","840","United States",1995,1995,"CMT","AHS",9.81,9.87,5.26,0,16,290,0,47,3852237.952,
"I3","H0","484","Mexico","25","MANUFACTURE OF RUBBER AND PLASTICS PRODUCTS","840","United States",1995,1995,"CMT","MFN",15.35,15.13,4.06,0,20,290,0,68,3852237.952,
"I3","H0","484","Mexico","25","MANUFACTURE OF RUBBER AND PLASTICS PRODUCTS","840","United States",1995,1995,"CMT","PRF",9.81,9.87,5.26,0,16,,,47,3852237.952,
"I3","H0","484","Mexico","26","MANUFACTURE OF OTHER NON-METALLIC MINERAL PRODUCTS","840","United States",1991,1991,"CMT","AHS",15.62,14.46,4.04,0,20,414,0,126,234556.106,
"I3","H0","484","Mexico","26","MANUFACTURE OF OTHER NON-METALLIC MINERAL PRODUCTS","840","United States",1991,1991,"CMT","MFN",15.62,14.46,4.04,0,20,414,0,126,234556.106,
"I3","H0","484","Mexico","26","MANUFACTURE OF OTHER NON-METALLIC MINERAL PRODUCTS","840","United States",1995,1995,"CMT","AHS",5.99,6.35,6.35,0,20,332,0,47,698296,
"I3","H0","484","Mexico","26","MANUFACTURE OF OTHER NON-METALLIC MINERAL PRODUCTS","840","United States",1995,1995,"CMT","MFN",15.57,13.63,4.12,0,20,332,0,99,698296,
"I3","H0","484","Mexico","26","MANUFACTURE OF OTHER NON-METALLIC MINERAL PRODUCTS","840","United States",1995,1995,"CMT","PRF",5.72,6.33,6.19,0,20,,,43,697109,
"I3","H0","484","Mexico","27","MANUFACTURE OF BASIC METALS","840","United States",1991,1991,"CMT","AHS",10.64,9.89,2.55,0,20,826,0,6,1202058.797,
"I3","H0","484","Mexico","27","MANUFACTURE OF BASIC METALS","840","United States",1991,1991,"CMT","MFN",10.64,9.89,2.55,0,20,826,0,6,1202058.797,
"I3","H0","484","Mexico","27","MANUFACTURE OF BASIC METALS","840","United States",1995,1995,"CMT","AHS",5.96,5.52,4.12,0,15,601,0,0,1994834.992,
"I3","H0","484","Mexico","27","MANUFACTURE OF BASIC METALS","840","United States",1995,1995,"CMT","MFN",10.43,9.9,3.01,0,20,601,0,2,1994834.992,
"I3","H0","484","Mexico","27","MANUFACTURE OF BASIC METALS","840","United States",1995,1995,"CMT","PRF",5.92,5.5,4.13,0,15,,,0,1987384.992,
