munic,chg_labor_force2,outflow_intermunic2,inflow_intermunic2,inflow_intl_munic2,intl_mig_outflows2,pop90,intl_mig_rt10yr
484001001,80.39013671875,189.0021362304688,402.9006652832031,32.38986968994141,118.738260269165,2254.7,.052662555
484001002,-22.18000793457031,6.825558662414551,8.207780122756958,5.148891448974609,26.65112113952637,120.8,.22062185
484001003,-32.32000732421875,8.610131502151489,7.945032119750977,5.79716420173645,34.32207107543945,180.40001,.19025537
484001004,-.529998779296875,2.371461749076843,4.452666759490967,.28213831782341,2.19334214925766,37.799999,.058024924
484001005,34.47999572753906,20.47891616821289,42.19900512695313,3.57492470741272,-12.46498203277588,159.2,-.07829763
484001006,-19.85000610351563,26.97499895095825,21.9426851272583,6.977211713790894,17.42490386962891,233.3,.074688829
484001008,-8.930000305175781,3.881932616233826,2.073075383901596,.6636699289083481,6.904812812805176,55,.12554204
484002001,87.6900634765625,222.6412658691406,253.01708984375,22.51171445846558,-69.68252563476563,1196.6,-.058233768
484002002,-82.72998046875,201.6320571899414,281.623779296875,64.94796562194824,145.119668006897,2879.5,.050397523
484002003,24.09999084472656,52.94107532501221,71.42358016967773,10.74857378005981,-2.05891227722168,238.90001,-.0086183017
484002004,868.239990234375,421.2742309570313,1263.592163085938,177.3323822021484,17.77032423019409,3699.8,.0048030498
484003001,95.7099609375,151.5422859191895,267.1450653076172,17.05081605911255,4.283634185791016,1484.5,.0028855738
484004001,-9.6300048828125,14.91671180725098,12.58776664733887,0,4.591059803962708,155.10001,.029600643
484004002,-6.1800537109375,99.42750549316406,144.2581787109375,1.924760043621063,33.56548798084259,795.10004,.042215429
484004003,37.0299072265625,127.1367797851563,228.2660675048828,3.622123003005981,38.30150413513184,1206.3,.031751227
484004004,-3.459999084472656,3.91774845123291,5.44343376159668,0,3.565684318542481,79.900002,.044626836
484004005,-1.909999847412109,2.630000114440918,3.015866041183472,0,1.645865797996521,30,.054862194
484005002,103.6900024414063,52.8274507522583,96.33952331542969,4.110000133514404,-63.61792755126953,265.10001,-.23997709
484005004,-14.86000061035156,16.70267868041992,6.483039617538452,0,3.040361404418945,77.099998,.039434001
484005006,-20.88999938964844,5.09790825843811,4.508988857269287,.0099999997764826,18.32108020782471,96.599998,.18965922
484005007,-9.260002136230469,7.659083843231201,6.294638156890869,1.534008622169495,8.249565348029137,49.100002,.16801558
484005010,-43.08000183105469,22.02851009368897,45.38649082183838,.3799999952316284,61.90798377990723,283.5,.21837032
484005014,-.4500007629394531,2.417433798313141,3.331191301345825,.199999988079071,.713758260011673,31.9,.022374867
484005017,-73.83999633789063,10.76591062545776,36.06064987182617,1.049999952316284,93.14473724365234,368.5,.25276726
484005018,-93.72998046875,90.70265579223633,70.1540641784668,2.539999961853027,59.56138801574707,821.5,.072503209
484005020,-55.15998840332031,38.63041114807129,25.38833951950073,1.440000057220459,36.8479175567627,276.39999,.13331375
484005022,2.029998779296875,13.37538909912109,14.50408363342285,.3400000035762787,-1.701304197311401,75.400002,-.022563716
484005023,7.840000152587891,6.77573835849762,4.204698085784912,.9866606891155243,-10.20438003540039,31.700001,-.32190472
484005024,-21.36000061035156,39.94383335113525,13.15107202529907,.1700000017881393,-9.092760562896729,160.7,-.056582209
484005025,2.779998779296875,39.99014282226563,122.9217414855957,11.24305081367493,80.19465065002441,450.89999,.17785463
484005026,-3.710000991821289,3.815061807632446,.8274493217468262,.5355517640709877,.9679402988404036,15.6,.062047452
484005027,14.18999481201172,9.470473289489746,32.36059379577637,.1500000059604645,6.330125689506531,124.2,.050967194
484005030,5.73974609375,128.471435546875,278.4346542358398,15.423912525177,123.3373870849609,2053.4001,.060064957
484005032,-35.87001037597656,13.67319011688232,16.31413078308106,3.370679438114166,38.21162986755371,180.40001,.21181612
484005033,-117.2400207519531,63.64745330810547,30.308030128479,.2000000029802322,76.44059753417969,402.70001,.1898202
484005035,-246.610107421875,344.3650360107422,234.8101348876953,16.22578430175781,103.7309885025024,2176.6001,.047657348
484005038,-4.409999847412109,56.61217564344406,3.503254413604736,2.18638151884079,-47.52254056930542,46.200001,-1.0286264
484006001,-19.8599853515625,79.63827133178711,109.0475769042969,8.658605575561523,45.26789665222168,536.29999,.084407791
484006002,-57.49002075195313,157.6488647460938,119.7458839416504,16.79382181167603,23.53086090087891,522.90002,.045000687
484006003,-8.789997100830078,8.656497716903687,9.071917057037354,1.690409541130066,9.005825757980347,71.099998,.12666422
484006004,-7.130001068115234,7.356888055801392,7.136228322982788,1.805682182312012,7.115023732185364,66.5,.10699284
484006005,-13.63999938964844,14.51738691329956,9.614901065826416,3.728824734687805,10.28633832931519,105,.097965129
484006006,-2.680000305175781,3.93252170085907,3.989540636539459,1.235837578773499,3.4528568983078,19.6,.17616616
484006008,-48.95001220703125,38.33307647705078,46.19060707092285,13.04275798797607,60.24030113220215,356.5,.16897701
484006009,140.6900024414063,26.6840705871582,159.2547760009766,3.98837673664093,-8.450920581817627,168,-.050303098
484007003,-18.43000030517578,5.507366418838501,12.35980272293091,.2900000214576721,22.55243682861328,90.300003,.24975012
484007009,-18.55000305175781,13.09894394874573,16.90489339828491,0,17.56595277786255,152.90001,.11488523
484007017,-36.44000244140625,41.69105911254883,28.56131935119629,0,16.65026235580444,240,.069376096
484007019,-2.07000732421875,21.24060821533203,41.7317590713501,.3400000035762787,12.58115816116333,334.60001,.037600592
484007020,-24.80000305175781,8.557000160217285,22.05358600616455,.1299999952316284,35.38659000396729,136,.26019552
484007025,-3.850000381469727,.5600000023841858,.6100000143051148,0,3.240000367164612,22.1,.14660636
