year,munic,intl_migrants,pop,intl_mig_rt_partialhh,chg_intl_mig_rt_partialhh
1995,484001001,97.93999923765659,6405.959993377328,.015288888,
2000,484001001,131.039999967441,6761.379995359108,.019380659,.0040917713
1995,484001002,13.26999962329865,293.2499988973141,.045251492,
2000,484001002,20.72999957576394,376.1699914205819,.055108063,.0098565705
1995,484001003,39.76000028848648,498.7199998646975,.079724096,
2000,484001003,42.19999964535236,511.9999966546893,.082421876,.0026977807
1995,484001004,8.909999996423721,404.3999982178211,.022032641,
2000,484001004,4.449999971315265,125.8999993074685,.035345513,.013312872
1995,484001005,9.719999849796295,280.8200003057718,.03461292,
2000,484001005,19.64999952353537,638.8399890232831,.030758874,-.0038540456
1995,484001006,34.25999957323074,562.9499998092651,.060857978,
2000,484001006,28.87999979034066,756.2399961613119,.038188934,-.022669043
2000,484001007,3.499999918043613,72.45999838039279,.048302513,
1995,484001008,5.85999983549118,148.2399999797344,.03953049,
2000,484001008,13.0099998190999,164.7899976912886,.078948967,.039418478
1995,484002001,32.10000026226044,3065.320007130504,.01047199,
2000,484002001,40.48000003024936,3672.80999449268,.011021534,.00054954365
1995,484002002,136.2600008249283,7123.629989743233,.019127889,
2000,484002002,78.00000068917871,7611.69004339911,.010247395,-.0088804932
1995,484002003,12.24000000953674,672.3599992394447,.018204533,
2000,484002003,9.410000024363399,770.109996413812,.012219034,-.0059854984
1995,484002004,98.25999975204468,10082.80001083016,.0097453091,
2000,484002004,109.5900005139411,12705.49004547484,.0086254049,-.0011199042
1995,484003001,18.77999998629093,3712.039993748069,.0050592129,
2000,484003001,25.54000021517277,4189.619987970218,.0060960185,.0010368056
1995,484004001,0,390.2599985897541,0,
2000,484004001,.4899999927729368,468.3099990785122,.0010463154,.0010463154
1995,484004002,17.9200005531311,1773.009992420673,.010107107,
2000,484004002,5.920000035315752,2153.499994026497,.0027490132,-.0073580933
1995,484004003,67.93999946117401,3676.759995922446,.018478226,
2000,484004003,16.89999984391034,3837.409992784262,.0044040121,-.014074214
1995,484004004,0,427.0500017106533,0,
2000,484004004,.0999999977648258,248.6199985649437,.00040222026,.00040222026
1995,484004005,3.5,127.3099992573261,.027491949,
2000,484004005,.0299999993294477,83.99999812245369,.00035714285,-.027134806
2000,484004006,.0499999988824129,83.8799981251359,.00059608964,
2000,484005001,.9399999789893627,11.01999975368381,.085299455,
1995,484005002,7.019999980926514,653.3600040078163,.010744459,
2000,484005002,18.05999991111457,1101.429996354505,.016396865,.0056524063
2000,484005003,2.179999973624945,209.3999989870936,.010410697,
1995,484005004,0,148.2000008821487,0,
2000,484005004,.2299999929964542,192.8699981607497,.001192513,.001192513
2000,484005005,.0699999984353781,16.17999963834882,.0043263286,
1995,484005006,4.509999990463257,568.1399954408407,.0079381838,
2000,484005006,2.989999990910292,223.8999989870936,.013354176,.0054159919
1995,484005007,1.590000033378601,146.5700000524521,.010848059,
2000,484005007,.7199999839067459,121.2599982209504,.0059376545,-.0049104048
2000,484005008,2.019999952986836,27.02999939583242,.074731782,
2000,484005009,3.339999988675118,463.9199975375086,.007199517,
1995,484005010,6.959999799728394,603.9000071883202,.011525086,
2000,484005010,6.049999946728349,664.1199978794903,.0091097998,-.0024152864
2000,484005011,.6499999966472387,112.9099983498454,.0057567977,
2000,484005012,.2499999944120646,19.56999956257641,.012774655,
2000,484005013,.0199999995529652,14.0099996868521,.0014275517,
1995,484005014,4.050000011920929,145.3799996376038,.027858028,
2000,484005014,1.419999975711107,96.66999826207757,.014689148,-.01316888
2000,484005015,.6599999852478504,15.61999965086579,.04225352,
2000,484005016,.2599999941885471,17.36999961175025,.014968337,
1995,484005017,8.699999809265137,1416.070002257824,.0061437641,
2000,484005017,11.99000007845461,917.9200027678162,.013062141,.0069183768
1995,484005018,19.34999990463257,1883.229994535446,.0102749,
2000,484005018,25.53000014275312,1931.399995749816,.013218391,.0029434906
2000,484005019,1.319999970495701,72.15999838709831,.018292682,
1995,484005020,1.129999995231628,498.2100006341934,.0022681199,
2000,484005020,11.11999994143844,622.2199970018119,.017871492,.015603372
2000,484005021,.1299999970942736,59.48999867029488,.0021852413,
1995,484005022,6.360000133514404,299.0600011348724,.021266636,
2000,484005022,4.09000001847744,229.6799999643117,.017807385,-.0034592506
1995,484005023,10.88999974727631,335.4600010514259,.032462887,
2000,484005023,.7200000081211329,117.9600005112588,.0061037638,-.026359124
1995,484005024,0,246.5200008153915,0,
2000,484005024,.2600000072270632,430.5999969188124,.00060380867,.00060380867
1995,484005025,4.349999904632568,1139.039999842644,.0038190053,
2000,484005025,18.75000002980232,1270.800003554672,.014754485,.01093548
1995,484005026,4.440000057220459,134.7999985218048,.032937687,
2000,484005026,1.36999998241663,35.8599992711097,.038204126,.0052664392
1995,484005027,0,261.2900012731552,0,
2000,484005027,1.320000011473894,398.5000006873161,.0033124215,.0033124215
2000,484005028,12.38000001944602,522.0400018524379,.023714658,
2000,484005029,.0699999984353781,19.77999955788255,.0035389282,
1995,484005030,36.14999997615814,5400.030002251267,.0066944072,
2000,484005030,23.33000002801418,5749.019993273541,.0040580831,-.0026363241
2000,484005031,3.420000024139881,199.7400012724102,.017122259,
1995,484005032,0,643.240003824234,0,
2000,484005032,5.259999984875321,401.0699999891222,.013114918,.013114918
1995,484005033,10.95999979972839,792.7099999785423,.013825989,
2000,484005033,14.17000000365078,882.2499986290932,.016061207,.002235218
2000,484005034,.5899999868124723,60.04999929107726,.0098251458,
1995,484005035,37.16999888420105,5236.169986844063,.0070986999,
