hts8	year	brief_description	quantity_1_code	quantity_2_code	wto_binding_code	mfn_rate_type_code	mfn_ave	mfn_ad_val_rate	mfn_specific_rate	mfn_other_rate	gsp_indicator	gsp_ctry_excluded	gsp_ctry_excluded2	gsp_ctry_excluded3	gsp_ctry_excluded4	apta_indicator	civil_air_indicator	nafta_canada_ind	canada_rate_type_code	canada_ave	canada_ad_val_rate	canada_specific_rate	canada_other_rate	nafta_mexico_ind	mexico_rate_type_code	mexico_ave	mexico_ad_val_rate	mexico_specific_rate	mexico_other_rate	cbi_indicator	cbi_rate_type_code	cbi_ave	cbi_ad_val_rate	cbi_specific_rate	cbi_other_rate	israel_fta_indicator	israel_rate_type_code	israel_ave	israel_ad_val_rate	israel_specific_rate	israel_other_rate	atpa_indicator	atpa_rate_type_code	atpa_ave	atpa_ad_val_rate	atpa_specific_rate	atpa_other_rate	pharmaceutical_ind	dyes_indicator	col2_rate_type_code	col2_ave	col2_ad_val_rate	col2_specific_rate	col2_other_rate	begin_effect_date	end_effective_date	additional_tariff_num_ind	unitvalue
73259910	90	"Cast iron (o/than nonmalleable cast iron), articles nesoi"	"kilograms"	""			.031	.031	0	0	"A"	""	""			"B"	""	"CA"		0	.024	0				0	0	0	0	"E"		0	0	0		"IL"		0	0	0											.2	.2	0	0				2.11982
73259950	90	"Steel, cast articles nesoi"	"kilograms"	""			.057	.057	0	0	"A"	""	""			"B"	""	"CA"		0	.045	0				0	0	0	0	"E"		0	0	0		"IL"		0	0	0											.45	.45	0	0				3.26986
73261100	90	"Iron or steel, forged or stamped grinding balls and similar articles for mills"	"kilograms"	""			.042	.042	0	0	"A"	""	""			""	""	"CA"		.025	.025	0				0	0	0	0	"E"		0	0	0		"IL"		0	0	0											.275	.275	0	0				1.6621
73261900	90	"Iron or steel, articles forged or stamped but n/further worked, nesoi"	"kilograms"	""			.057	.057	0	0	"A"	""	""			"B"	""	"CA"		0	.045	0				0	0	0	0	"E"		0	0	0		"IL"		0	0	0											.45	.45	0	0				1.99373
73262000	90	"Iron or steel, articles of wire, nesoi"	"not available"	""			.057	.057	0	0	"A"	""	""			"B"	"C"	"CA"		0	.045	0				0	0	0	0	"E"		0	0	0		"IL"		0	0	0											.45	.45	0	0				49.6328
73269010	90	"Tinplate, articles nesoi"	"no units collected"	""			.024	.024	0	0	"A"	""	""			"B"	""	"CA"		0	.019	0				0	0	0	0	"E"		0	0	0		"IL"		0	0	0											.45	.45	0	0				
73269030	90	"Containers, of iron or steel, of a kind normally carried on the person, in the pocket or in the handbag"	"dozens"	""			.078	.078	0	0	""	""	""			""	""	"CA"		.062	.062	0				.078	.078	0	0	"E"		0	0	0		"IL"		0	0	0											1.1	1.1	0	0				4.28337
73269045	90	"Iron or steel, horse and mule shoes"	"kilograms"	""			0	0	0	0	""	""	""			""	""	""		0	0	0				0	0	0	0	""		0	0	0		""		0	0	0											.1	.1	0	0				2.79274
73269060	90	"Iron or steel, articles nesoi, coated or plated with precious metal"	"no units collected"	""			.086	.086	0	0	"A"	""	""			""	""	"CA"		.068	.068	0				0	0	0	0	"E"		0	0	0		"IL"		0	0	0											.65	.65	0	0				
73269090	90	"Articles of iron or steel, nesi, other than coated or plated with precious metal"	"not available"	""			.057	.057	0	0	"A"	""	""			"B"	""	"CA"		0	.045	0				0	0	0	0	"E"		0	0	0		"IL"		0	0	0											.45	.45	0	0				3.0631
74011000	90	"Copper mattes"	"kilograms"	""			.00313	0	.007	.007	"A*"	"MX"	""			""	""	"CA"		.001789	0	.004				.00313	0	.007	.007	"E"		0	0	0		"IL"		0	0	0											.039348	0	.088	.033				2.23644
74012000	90	"Cement copper (precipitated copper)"	"kilograms"	""			.017	.017	0	0	"A"	""	""			""	""	"CA"		.01	.01	0				0	0	0	0	"E"		0	0	0		"IL"		0	0	0											.06	.06	0	0				72240
74020000	90	"Unrefined copper; copper anodes for electrolytic refining"	"kilograms"	"component kilograms"			.01	.01	0	0	"A*"	"MX"	""			""	""	"CA"		.006	.006	0				.01	.01	0	0	"E"		0	0	0		"IL"		0	0	0											.06	.06	0	0				2.85987
74031100	90	"Refined copper cathodes and sections of cathodes"	"kilograms"	""			.01	.01	0	0	"A*"	"PE"	"ZM"			""	""	"CA"		.006	.006	0				0	0	0	0	"E"		0	0	0		"IL"		0	0	0											.06	.06	0	0				2.55536
74031200	90	"Refined copper, wire bars"	"kilograms"	""			.01	.01	0	0	"A*"	"PE"	"ZM"			""	""	"CA"		.006	.006	0				0	0	0	0	"E"		0	0	0		"IL"		0	0	0											.06	.06	0	0				2.60871
74031300	90	"Refined copper, billets"	"kilograms"	""			.01	.01	0	0	"A*"	"PE"	"ZM"			""	""	"CA"		.006	.006	0				0	0	0	0	"E"		0	0	0		"IL"		0	0	0											.06	.06	0	0				2.68227
74031900	90	"Refined copper, unwrought articles nesoi"	"kilograms"	""			.01	.01	0	0	"A*"	"PE"	"ZM"			""	""	"CA"		.006	.006	0				0	0	0	0	"E"		0	0	0		"IL"		0	0	0											.06	.06	0	0				2.48812
