hts8	year	brief_description	quantity_1_code	quantity_2_code	wto_binding_code	mfn_rate_type_code	mfn_ave	mfn_ad_val_rate	mfn_specific_rate	mfn_other_rate	gsp_indicator	gsp_ctry_excluded	gsp_ctry_excluded2	gsp_ctry_excluded3	gsp_ctry_excluded4	apta_indicator	civil_air_indicator	nafta_canada_ind	canada_rate_type_code	canada_ave	canada_ad_val_rate	canada_specific_rate	canada_other_rate	nafta_mexico_ind	mexico_rate_type_code	mexico_ave	mexico_ad_val_rate	mexico_specific_rate	mexico_other_rate	cbi_indicator	cbi_rate_type_code	cbi_ave	cbi_ad_val_rate	cbi_specific_rate	cbi_other_rate	israel_fta_indicator	israel_rate_type_code	israel_ave	israel_ad_val_rate	israel_specific_rate	israel_other_rate	atpa_indicator	atpa_rate_type_code	atpa_ave	atpa_ad_val_rate	atpa_specific_rate	atpa_other_rate	pharmaceutical_ind	dyes_indicator	col2_rate_type_code	col2_ave	col2_ad_val_rate	col2_specific_rate	col2_other_rate	begin_effect_date	end_effective_date	additional_tariff_num_ind	unitvalue
1011100	96	"Live purebred breeding horses"	"number"	""	""		0	0	0	0	""	""	""	""	""	""	""	""		0	0	0		""		0				""		0				""		0	0	0		""		0				""	""		0	0	0	0	""	""		4883.34
1011900	96	"Live horses other than purebred breeding horses"	"number"	""	""		0	0	0	0	""	""	""	""	""	""	""	""		0	0	0		""		0				""		0				""		0	0	0		""		0				""	""		.2	.2	0	0	""	""		3792.7
1012010	96	"Live purebred breeding asses"	"number"	""	""		0	0	0	0	""	""	""	""	""	""	""	""		0	0	0		""		0				""		0				""		0	0	0		""		0				""	""		0	0	0	0	""	""		5197.62
1012020	96	"Live asses other than purebred breeding asses"	"number"	""	""		.123	.123	0	0	""	""	""	""	""	""	""	"CA"		0	0	0		"MX"		0	0	0		"E"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.15	.15	0	0	""	""		394.675
1012030	96	"Mules and hinnies imported for immediate slaughter"	"number"	""	""		0	0	0	0	""	""	""	""	""	""	""	""		0	0	0		""		0				""		0				""		0	0	0		""		0				""	""		0	0	0	0	""	""		
1012040	96	"Mules and hinnies not imported for immediate slaughter"	"number"	""	""		.082	.082	0	0	""	""	""	""	""	""	""	"CA"		.02	.02	0		"MX"		0	0	0		"E"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.2	.2	0	0	""	""		420
1021000	96	"Live purebred bovine breeding animals"	"number"	""	""		0	0	0	0	""	""	""	""	""	""	""	""		0	0	0		""		0				""		0				""		0	0	0		""		0				""	""		0	0	0	0	""	""		874.016
1029020	96	"Cows imported specially for dairy purposes"	"number"	"kilograms"	""		0	0	0	0	""	""	""	""	""	""	""	""		0	0	0		""		0				""		0				""		0	0	0		""		0				""	""		.000075	0	.066	0	""	""		878.257
1029040	96	"Live bovine animals other than purebred or those imported for dairy purposes"	"number"	"kilograms"	""		.000032	0	.018	0	""	""	""	""	""	""	""	"CA"		0	0	0		"MX"		0	0	0		"E"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.000097	0	.055	0	""	""		566.379
1031000	96	"Live purebred breeding swine"	"number"	""	""		0	0	0	0	""	""	""	""	""	""	""	""		0	0	0		""		0				""		0				""		0	0	0		""		0				""	""		0	0	0	0	""	""		349.204
1039100	96	"Live swine, other than purebred breeding swine, weighing less than 50 kg each"	"number"	"kilograms"	""		0	0	0	0	""	""	""	""	""	""	""	""		0	0	0		""		0				""		0				""		0	0	0		""		0				""	""		.001467	0	.044	0	""	""		29.9917
1039200	96	"Live swine, other than purebred breeding swine, weighing 50 kg or more"	"number"	"kilograms"	""		0	0	0	0	""	""	""	""	""	""	""	""		0	0	0		""		0				""		0				""		0	0	0		""		0				""	""		.000357	0	.044	0	""	""		123.163
1041000	96	"Live sheep"	"number"	"kilograms"	""		0	0	0	0	""	""	""	""	""	""	""	""		0	0	0		""		0				""		0				""		0	0	0		""		0				""	""		.02584	0	3	0	""	""		116.101
1042000	96	"Live goats"	"number"	""	""		.003836	0	1.23	0	""	""	""	""	""	""	""	"CA"		0	0	0		"MX"		0	0	0		"E"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.009356	0	3	0	""	""		320.635
1051100	96	"Live chickens weighing not over 185 g each"	"number"	""	""		.009125	0	.016	0	""	""	""	""	""	""	""	"CA"		.002281	0	.004		"MX"		0	0	0		"E"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.022812	0	.04	0	""	""		1.75344
1051200	96	"Live turkeys weighing not more than over 185 g each"	"number"	""	""		.008123	0	.016	0	""	""	""	""	""	""	""	"CA"		.002031	0	.004		"MX"		0	0	0		"E"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.020307	0	.04	0	""	""		1.96977
1051900	96	"Live ducks, geese and guineas, weighing not more than 185 g each"	"number"	""	""		.016171	0	.016	0	""	""	""	""	""	""	""	"CA"		.004043	0	.004		"MX"		0	0	0		"E"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.040429	0	.04	0	""	""		.989398
1059100	96	"Live chickens weighing over 185 g each"	"number"	"kilograms"	""						""	""	""	""	""	""	""	""						""						""						""						""						""	""						""	""		
1059200	96	"Live chickens weighing more than 185 g but not not more than 2000 g each"	"number"	"kilograms"	""		.012103	0	.036	0	""	""	""	""	""	""	""	"CA"		.002689	0	.008		"MX"		0	0	0		"E"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.059168	0	.176	0	""	""		2.97457
1059300	96	"Live chickens weighing more than 2000 g each"	"number"	"kilograms"	""		.009234	0	.036	0	""	""	""	""	""	""	""	"CA"		.002052	0	.008		"MX"		0	0	0		"E"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.045142	0	.176	0	""	""		3.89885
1059900	96	"Live ducks, geese, turkeys and guineas, weighing over 185 g each"	"number"	"kilograms"	""		.006512	0	.036	0	""	""	""	""	""	""	""	"CA"		.001447	0	.008		"MX"		0	0	0		"E"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.031837	0	.176	0	""	""		5.5282
1060010	96	"Live birds, other than poultry"	"number"	""	""		.033	.033	0	0	"A"	""	""	""	""	""	""	"CA"		0	0	0		"MX"		0	0	0		"E"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.2	.2	0	0	""	""		8.6504
1060030	96	"Live foxes"	"number"	""	""		.066	.066	0	0	""	""	""	""	""	""	""	"CA"		0	0	0		"MX"		0	0	0		"E"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.15	.15	0	0	""	""		2522.5
1060050	96	"Live animals other than horses, asses, mules, hinnies, bovines, swine, sheep, goats, foxes or birds"	"not available"	""	""		0	0	0	0	""	""	""	""	""	""	""	""		0	0	0		""		0				""		0				""		0	0	0		""		0				""	""		.15	.15	0	0	""	""		196.153
2011000	96	"Carcasses and half-carcasses of bovine animals, fresh or chilled"	"kilograms"	""	""						""	""	""	""	""	""	""	""						""						""						""						""						""	""						""	""		
2011005	96	"Bovine carcasses and halves, fresh or chld., descr. in gen. note 15 of the HTS"	"kilograms"	""	""		.012413	0	.044	0	""	""	""	""	""	""	""	"CA"		0	0	0		"MX"		0	0	0		"E*"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.037239	0	.132	0	""	""		3.54464
2011010	96	"Bovine carcasses and halves, fresh or chld., descr. in add. US note 3 to Ch. 2"	"kilograms"	""	""		.014686	0	.044	0	""	""	""	""	""	""	""	"CA"		0	0	0		"MX"		0	0	0		"E*"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.044059	0	.132	0	""	""		2.99598
2011050	96	"Bovine carcasses and halves, fresh or chld., other than descr. in gen. note 15 or add. US note 3 to Ch. 2"	"kilograms"	""	""		.295	.295	0	0	""	""	""	""	""	""	""	""		.295				"MX"		0	0	0		""		.295				""		.295				""		.295				""	""		.311	.311	0	0	""	""		.931944
2012002	96	"High-qual. beef cuts w/bone in, processed, fresh or chld., descr in gen. note 15 of the HTS"	"kilograms"	""	""		.04	.04	0	0	""	""	""	""	""	""	""	"CA"		0	0	0		"MX"		0	0	0		"E*"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.2	.2	0	0	""	""		5.06506
2012004	96	"Bovine meat cuts (except high-qual. beef cuts), w/bone in, processed, fresh or chld., descr in gen. note 15 of the HTS"	"kilograms"	""	""		.1	.1	0	0	""	""	""	""	""	""	""	"CA"		0	0	0		"MX"		0	0	0		"E*"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.2	.2	0	0	""	""		1.53643
2012006	96	"Bovine meat cuts, w/bone in, not processed, fresh or chld., descr in gen. note 15 of the HTS"	"kilograms"	""	""		.037117	0	.044	0	""	""	""	""	""	""	""	"CA"		0	0	0		"MX"		0	0	0		"E*"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.11135	0	.132	0	""	""		1.18545
2012010	96	"High-qual. beef cuts, w/bone in, processed, fresh or chld., descr in add. US note 3 to Ch. 2"	"kilograms"	""	""		.04	.04	0	0	""	""	""	""	""	""	""	"CA"		0	0	0		"MX"		0	0	0		"E*"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.2	.2	0	0	""	""		1.90167
2012020	96	"Fancy retail beef cuts, fresh or chilled, bone in"	"kilograms"	""	""						""	""	""	""	""	""	""	""						""						""						""						""						""	""						""	""		
2012030	96	"Bovine meat cuts (except high-qual. beef cuts), w/bone in, processed, fresh or chld., descr in add. US note 3 to Ch. 2"	"kilograms"	""	""		.1	.1	0	0	""	""	""	""	""	""	""	"CA"		0	0	0		"MX"		0	0	0		"E*"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.2	.2	0	0	""	""		1.94919
2012040	96	"Retail cuts of meat of bovine animals, other than fancy retail beef cuts, fresh or chilled, bone in"	"kilograms"	""	""						""	""	""	""	""	""	""	""						""						""						""						""						""	""						""	""		
2012050	96	"Bovine meat cuts, w/bone in, not processed, fresh or chld., descr in add. US note 3 to Ch. 2"	"kilograms"	""	""		.024011	0	.044	0	""	""	""	""	""	""	""	"CA"		0	0	0		"MX"		0	0	0		"E*"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.072034	0	.132	0	""	""		1.83246
2012060	96	"Non retail cuts of meat of bovine animals, other than carcasses and half-carcasses, fresh or chilled, bone in"	"kilograms"	""	""						""	""	""	""	""	""	""	""						""						""						""						""						""	""						""	""		
2012080	96	"Bovine meat cuts, w/bone in, fresh or chld., not descr in gen. note 15 or add. US note 3 to Ch. 2"	"kilograms"	""	""		.295	.295	0	0	""	""	""	""	""	""	""	""		.295				"MX"		0	0	0		""		.295				""		.295				""		.295				""	""		.311	.311	0	0	""	""		2.45937
2013002	96	"High-qual. beef cuts, boneless, processed, fresh or chld., descr in gen. note 15 of the HTS"	"kilograms"	""	""		.04	.04	0	0	""	""	""	""	""	""	""	"CA"		0	0	0		"MX"		0	0	0		"E*"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.2	.2	0	0	""	""		18.7976
2013004	96	"Bovine meat cuts (except high-qual. beef cuts), boneless, processed, fresh or chld., descr in gen. note 15 of the HTS"	"kilograms"	""	""		.1	.1	0	0	""	""	""	""	""	""	""	"CA"		0	0	0		"MX"		0	0	0		"E*"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.2	.2	0	0	""	""		1.97492
2013006	96	"Bovine meat cuts, boneless, not processed, fresh or chld., descr in gen. note 15 of the HTS"	"kilograms"	""	""		.020496	0	.044	0	""	""	""	""	""	""	""	"CA"		0	0	0		"MX"		0	0	0		"E*"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.061489	0	.132	0	""	""		2.14673
2013010	96	"High-qual. beef cuts, boneless, processed, fresh or chld., descr in add. US note 3 to Ch. 2"	"kilograms"	""	""		.04	.04	0	0	""	""	""	""	""	""	""	"CA"		0	0	0		"MX"		0	0	0		"E*"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.2	.2	0	0	""	""		13.6574
2013020	96	"Fancy retail beef cuts, fresh or chilled, boneless"	"kilograms"	""	""						""	""	""	""	""	""	""	""						""						""						""						""						""	""						""	""		
2013030	96	"Bovine meat cuts (except high-qual. beef cuts), boneless, processed, fresh or chld., descr in add. US note 3 to Ch. 2"	"kilograms"	""	""		.1	.1	0	0	""	""	""	""	""	""	""	"CA"		0	0	0		"MX"		0	0	0		"E*"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.2	.2	0	0	""	""		1.64703
2013040	96	"Retail cuts of meat of bovine animals, other than fancy retail beef cuts, fresh or chilled, boneless"	"kilograms"	""	""						""	""	""	""	""	""	""	""						""						""						""						""						""	""						""	""		
2013050	96	"Bovine meat cuts, boneless, not processed, fresh or chld., descr in add. US note 3 to Ch. 2"	"kilograms"	""	""		.017928	0	.044	0	""	""	""	""	""	""	""	"CA"		0	0	0		"MX"		0	0	0		"E*"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.053785	0	.132	0	""	""		2.45422
2013060	96	"Non retail cuts of meat of bovine animals, other than carcasses and half-carcasses, fresh or chilled, boneless"	"kilograms"	""	""						""	""	""	""	""	""	""	""						""						""						""						""						""	""						""	""		
2013080	96	"Bovine meat cuts, boneless, fresh or chld., not descr in gen. note 15 or add. US note 3 to Ch. 2"	"kilograms"	""	""		.295	.295	0	0	""	""	""	""	""	""	""	""		.295				"MX"		0	0	0		""		.295				""		.295				""		.295				""	""		.311	.311	0	0	""	""		6.85642
2021000	96	"Carcasses and half-carcasses of bovine animals, frozen"	"kilograms"	""	""						""	""	""	""	""	""	""	""						""						""						""						""						""	""						""	""		
2021005	96	"Bovine carcasses and halves, frozen, descr. in gen. note 15 of the HTS"	"kilograms"	""	""			0	.044	0	""	""	""	""	""	""	""	"CA"		0	0	0		"MX"		0	0	0		"E*"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""			0	.132	0	""	""		
2021010	96	"Bovine carcasses and halves, frozen, descr. in add. US note 3 to Ch. 2"	"kilograms"	""	""		.027798	0	.044	0	""	""	""	""	""	""	""	"CA"		0	0	0		"MX"		0	0	0		"E*"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.083395	0	.132	0	""	""		1.58282
2021050	96	"Bovine carcasses and halves, frozen, other than descr. in gen. note 15 or add. US note 3 to Ch. 2"	"kilograms"	""	""		.295	.295	0	0	""	""	""	""	""	""	""	""		.295				"MX"		0	0	0		""		.295				""		.295				""		.295				""	""		.311	.311	0	0	""	""		
2022002	96	"High-qual. beef cuts w/bone in, processed, frozen, descr in gen. note 15 of the HTS"	"kilograms"	""	""		.04	.04	0	0	""	""	""	""	""	""	""	"CA"		0	0	0		"MX"		0	0	0		"E*"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.2	.2	0	0	""	""		
2022004	96	"Bovine meat cuts (except high-qual. beef cuts), w/bone in, processed, frozen, descr in gen. note 15 of the HTS"	"kilograms"	""	""		.1	.1	0	0	""	""	""	""	""	""	""	"CA"		0	0	0		"MX"		0	0	0		"E*"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.2	.2	0	0	""	""		
2022006	96	"Bovine meat cuts, w/bone in, not processed, frozen, descr in gen. note 15 of the HTS"	"kilograms"	""	""		.014091	0	.044	0	""	""	""	""	""	""	""	"CA"		0	0	0		"MX"		0	0	0		"E*"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.042273	0	.132	0	""	""		3.12254
2022010	96	"High-qual. beef cuts, w/bone in, processed, frozen, descr in add. US note 3 to Ch. 2"	"kilograms"	""	""		.04	.04	0	0	""	""	""	""	""	""	""	"CA"		0	0	0		"MX"		0	0	0		"E*"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.2	.2	0	0	""	""		3.99227
2022020	96	"Fancy retail beef cuts, frozen, bone in"	"kilograms"	""	""						""	""	""	""	""	""	""	""						""						""						""						""						""	""						""	""		
2022030	96	"Bovine meat cuts (except high-qual. beef cuts), w/bone in, processed, frozen, descr in add. US note 3 to Ch. 2"	"kilograms"	""	""		.1	.1	0	0	""	""	""	""	""	""	""	"CA"		0	0	0		"MX"		0	0	0		"E*"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.2	.2	0	0	""	""		8.70098
2022040	96	"Retail cuts of meat of bovine animals, other than fancy retail beef cuts, frozen, bone in"	"kilograms"	""	""						""	""	""	""	""	""	""	""						""						""						""						""						""	""						""	""		
2022050	96	"Bovine meat cuts, w/bone in, not processed, frozen, descr in add. US note 3 to Ch. 2"	"kilograms"	""	""		.021744	0	.044	0	""	""	""	""	""	""	""	"CA"		0	0	0		"MX"		0	0	0		"E*"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.065232	0	.132	0	""	""		2.02356
2022060	96	"Non retail cuts of meat of bovine animals, other than carcasses or half-carcasses, frozen, bone in"	"kilograms"	""	""						""	""	""	""	""	""	""	""						""						""						""						""						""	""						""	""		
2022080	96	"Bovine meat cuts, w/bone in, frozen, not descr in gen. note 15 or add. US note 3 to Ch. 2"	"kilograms"	""	""		.295	.295	0	0	""	""	""	""	""	""	""	""		.295				"MX"		0	0	0		""		.295				""		.295				""		.295				""	""		.311	.311	0	0	""	""		
2023002	96	"High-qual. beef cuts, boneless, processed, frozen, descr in gen. note 15 of the HTS"	"kilograms"	""	""		.04	.04	0	0	"A"	""	""	""	""	""	""	"CA"		0	0	0		"MX"		0	0	0		"E*"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.2	.2	0	0	""	""		2.50081
2023004	96	"Bovine meat cuts (except high-qual. beef cuts), boneless, processed, frozen, descr in gen. note 15 of the HTS"	"kilograms"	""	""		.1	.1	0	0	""	""	""	""	""	""	""	"CA"		0	0	0		"MX"		0	0	0		"E*"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.2	.2	0	0	""	""		1.78456
2023006	96	"Bovine meat cuts, boneless, not processed, frozen, descr in gen. note 15 of the HTS"	"kilograms"	""	""		.034369	0	.044	0	""	""	""	""	""	""	""	"CA"		0	0	0		"MX"		0	0	0		"E*"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.103106	0	.132	0	""	""		1.28024
2023010	96	"High-qual. beef cuts, boneless, processed, frozen, descr in add. US note 3 to Ch. 2"	"kilograms"	""	""		.04	.04	0	0	"A"	""	""	""	""	""	""	"CA"		0	0	0		"MX"		0	0	0		"E*"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.2	.2	0	0	""	""		3.19467
2023020	96	"Fancy retail beef cuts, frozen, boneless"	"kilograms"	""	""						""	""	""	""	""	""	""	""						""						""						""						""						""	""						""	""		
2023030	96	"Bovine meat cuts (except high-qual. beef cuts), boneless, processed, frozen, descr in add. US note 3 to Ch. 2"	"kilograms"	""	""		.1	.1	0	0	""	""	""	""	""	""	""	"CA"		0	0	0		"MX"		0	0	0		"E*"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.2	.2	0	0	""	""		2.01723
2023040	96	"Retail cuts of meat of bovine animals, other than fancy retail beef cuts, frozen, boneless"	"kilograms"	""	""						""	""	""	""	""	""	""	""						""						""						""						""						""	""						""	""		
2023050	96	"Bovine meat cuts, boneless, not processed, frozen, descr in add. US note 3 to Ch. 2"	"kilograms"	""	""		.028013	0	.044	0	""	""	""	""	""	""	""	"CA"		0	0	0		"MX"		0	0	0		"E*"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.08404	0	.132	0	""	""		1.57068
2023060	96	"Non retail cuts of meat of bovine animals, other than carcasses and half-carcasses, frozen, boneless"	"kilograms"	""	""						""	""	""	""	""	""	""	""						""						""						""						""						""	""						""	""		
2023080	96	"Bovine meat cuts, boneless, frozen, not descr in gen. note 15 or add. US note 3 to Ch. 2"	"kilograms"	""	""		.295	.295	0	0	""	""	""	""	""	""	""	""		.295				"MX"		0	0	0		""		.295				""		.295				""		.295				""	""		.311	.311	0	0	""	""		5.21613
2031100	96	"Carcasses and half-carcasses of swine, fresh or chilled"	"kilograms"	""	""		0	0	0	0	""	""	""	""	""	""	""	""		0	0	0		""		0				""		0				""		0	0	0		""		0				""	""		.02902	0	.055	0	""	""		1.89523
2031210	96	"Fresh or chilled retail cuts of ham, shoulders and cuts thereof, with bone in"	"kilograms"	""	""		.008989	0	.019	0	""	""	""	""	""	""	""	"CA"		0	0	0		"MX"		0	0	0		"E"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.034062	0	.072	0	""	""		2.11377
2031290	96	"Fresh or chilled hams, shoulders and cuts thereof, with bone in, other than processed"	"kilograms"	""	""		0	0	0	0	""	""	""	""	""	""	""	""		0	0	0		""		0				""		0				""		0	0	0		""		0				""	""		.026651	0	.055	0	""	""		2.06372
2031920	96	"Meat of swine nesi, retail cuts, fresh or chilled"	"kilograms"	""	""		.006268	0	.019	0	""	""	""	""	""	""	""	"CA"		0	0	0		"MX"		0	0	0		"E"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.023754	0	.072	0	""	""		3.03106
2031940	96	"Meat of swine, nesi, non retail cuts, fresh or chilled"	"kilograms"	""	""		0	0	0	0	""	""	""	""	""	""	""	""		0	0	0		""		0				""		0				""		0	0	0		""		0				""	""		.020455	0	.055	0	""	""		2.68881
2032100	96	"Carcasses and half-carcasses of swine, frozen"	"kilograms"	""	""		0	0	0	0	""	""	""	""	""	""	""	""		0	0	0		""		0				""		0				""		0	0	0		""		0				""	""		.038049	0	.055	0	""	""		1.44549
2032210	96	"Frozen retail cuts of hams, shoulders and cuts thereof, with bone in"	"kilograms"	""	""		.006219	0	.019	0	"A"	""	""	""	""	""	""	"CA"		0	0	0		"MX"		0	0	0		"E"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.023566	0	.072	0	""	""		3.05519
2032290	96	"Frozen hams, shoulders and cuts thereof, with bone in, other than retail cuts"	"kilograms"	""	""		0	0	0	0	""	""	""	""	""	""	""	""		0	0	0		""		0				""		0				""		0	0	0		""		0				""	""		.016501	0	.055	0	""	""		3.33309
2032920	96	"Frozen retail cuts of meat of swine, nesi"	"kilograms"	""	""		.013878	0	.019	0	"A"	""	""	""	""	""	""	"CA"		0	0	0		"MX"		0	0	0		"E"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.05259	0	.072	0	""	""		1.36909
2032940	96	"Frozen meat of swine, other than retail cuts, nesi"	"kilograms"	""	""		0	0	0	0	""	""	""	""	""	""	""	""		0	0	0		""		0				""		0				""		0	0	0		""		0				""	""		.018836	0	.055	0	""	""		2.91991
2041000	96	"Carcasses and half-carcasses of lamb, fresh or chilled"	"kilograms"	""	""		.004068	0	.01	0	""	""	""	""	""	""	""	"CA"		0	0	0		"MX"		0	0	0		"E"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.062647	0	.154	0	""	""		2.4582
2042100	96	"Carcasses and half-carcasses of sheep, other than lamb, fresh or chilled"	"kilograms"	""	""		.014935	0	.031	0	""	""	""	""	""	""	""	"CA"		0	0	0		"MX"		0	0	0		"E"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.052997	0	.11	0	""	""		2.07561
2042220	96	"Cuts of lamb meat with bone in, fresh or chilled"	"kilograms"	""	""		.001555	0	.01	0	""	""	""	""	""	""	""	"CA"		0	0	0		"MX"		0	0	0		"E"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.023948	0	.154	0	""	""		6.43063
2042240	96	"Cuts of sheep meat with bone in, nesi, fresh or chilled"	"kilograms"	""	""		.004192	0	.031	0	""	""	""	""	""	""	""	"CA"		0	0	0		"MX"		0	0	0		"E"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.014873	0	.11	0	""	""		7.39592
