hts8	year	brief_description	quantity_1_code	quantity_2_code	wto_binding_code	mfn_rate_type_code	mfn_ave	mfn_ad_val_rate	mfn_specific_rate	mfn_other_rate	gsp_indicator	gsp_ctry_excluded	gsp_ctry_excluded2	gsp_ctry_excluded3	gsp_ctry_excluded4	apta_indicator	civil_air_indicator	nafta_canada_ind	canada_rate_type_code	canada_ave	canada_ad_val_rate	canada_specific_rate	canada_other_rate	nafta_mexico_ind	mexico_rate_type_code	mexico_ave	mexico_ad_val_rate	mexico_specific_rate	mexico_other_rate	cbi_indicator	cbi_rate_type_code	cbi_ave	cbi_ad_val_rate	cbi_specific_rate	cbi_other_rate	israel_fta_indicator	israel_rate_type_code	israel_ave	israel_ad_val_rate	israel_specific_rate	israel_other_rate	atpa_indicator	atpa_rate_type_code	atpa_ave	atpa_ad_val_rate	atpa_specific_rate	atpa_other_rate	pharmaceutical_ind	dyes_indicator	col2_rate_type_code	col2_ave	col2_ad_val_rate	col2_specific_rate	col2_other_rate	begin_effect_date	end_effective_date	additional_tariff_num_ind	unitvalue
1011100	98	"Live purebred breeding horses"	"NO"	""	"B"	0	0	0	0	0	""	""	""	""		""	""	""		0				""		0				""		0				""		0				""		0				""	""	0	0	0	0	0	"1/1/1989"	"12/31/1999"		19100.6
1011900	98	"Live horses other than purebred breeding horses"	"NO"	""	"B"	0	0	0	0	0	""	""	""	""		""	""	""		0				""		0				""		0				""		0				""		0				""	""	7	.2	.2	0	0	"1/1/1990"	"12/31/1999"		3992.03
1012010	98	"Live purebred breeding asses"	"NO"	""	"B"	0	0	0	0	0	""	""	""	""		""	""	""		0				""		0				""		0				""		0				""		0				""	""	0	0	0	0	0	"1/1/1989"	"12/31/1999"		2285.71
1012020	98	"Live asses other than purebred breeding asses"	"NO"	""	"B"	7	.095	.095	0	0	"A+"	""	""	""		""	""	"CA"		0				"MX"	0	0	0	0		"E"		0	0	0		"IL"		0				"J"		0	0	0		""	""	7	.15	.15	0	0	"1/1/1998"	"12/31/1998"		68.556
1012030	98	"Mules and hinnies imported for immediate slaughter"	"NO"	""	"B"	0	0	0	0	0	""	""	""	""		""	""	""		0				""		0				""		0				""		0				""		0				""	""	0	0	0	0	0	"1/1/1989"	"12/31/1999"		
1012040	98	"Mules and hinnies not imported for immediate slaughter"	"NO"	""	"B"	7	.063	.063	0	0	"A+"	""	""	""		""	""	"CA"		0				"MX"	0	0	0	0		"E"		0	0	0		"IL"		0				"J"		0	0	0		""	""	7	.2	.2	0	0	"1/1/1998"	"12/31/1998"		1250
1021000	98	"Live purebred bovine breeding animals"	"NO"	""	"B"	0	0	0	0	0	""	""	""	""		""	""	""		0				""		0				""		0				""		0				""		0				""	""	0	0	0	0	0	"1/1/1989"	"12/31/1999"		1034.72
1029020	98	"Cows imported specially for dairy purposes"	"NO"	"KG"	"B"	0	0	0	0	0	""	""	""	""		""	""	""		0				""		0				""		0				""		0				""		0				""	""	2	.000076	0	.066	0	"1/1/1990"	"12/31/1999"		872.436
1029040	98	"Live bovine animals other than purebred or those imported for dairy purposes"	"NO"	"KG"	"B"	2	.000025	0	.014	0	"A+"	""	""	""		""	""	"CA"		0				"MX"	0	0	0	0		"E"		0	0	0		"IL"		0				"J"		0	0	0		""	""	2	.000099	0	.055	0	"1/1/1998"	"12/31/1998"		554.423
1031000	98	"Live purebred breeding swine"	"NO"	""	"B"	0	0	0	0	0	""	""	""	""		""	""	""		0				""		0				""		0				""		0				""		0				""	""	0	0	0	0	0	"9/3/1995"	"12/31/1999"		161.381
