hts8	year	brief_description	quantity_1_code	quantity_2_code	wto_binding_code	mfn_rate_type_code	mfn_ave	mfn_ad_val_rate	mfn_specific_rate	mfn_other_rate	gsp_indicator	gsp_ctry_excluded	gsp_ctry_excluded2	gsp_ctry_excluded3	gsp_ctry_excluded4	apta_indicator	civil_air_indicator	nafta_canada_ind	canada_rate_type_code	canada_ave	canada_ad_val_rate	canada_specific_rate	canada_other_rate	nafta_mexico_ind	mexico_rate_type_code	mexico_ave	mexico_ad_val_rate	mexico_specific_rate	mexico_other_rate	cbi_indicator	cbi_rate_type_code	cbi_ave	cbi_ad_val_rate	cbi_specific_rate	cbi_other_rate	israel_fta_indicator	israel_rate_type_code	israel_ave	israel_ad_val_rate	israel_specific_rate	israel_other_rate	atpa_indicator	atpa_rate_type_code	atpa_ave	atpa_ad_val_rate	atpa_specific_rate	atpa_other_rate	pharmaceutical_ind	dyes_indicator	col2_rate_type_code	col2_ave	col2_ad_val_rate	col2_specific_rate	col2_other_rate	begin_effect_date	end_effective_date	additional_tariff_num_ind	unitvalue
1011100	92	"Live purebred breeding horses"	"number"	""	""		0	0	0	0	""	""	""	""	""	""	""	""		0	0	0		""		0	0	0		""		0	0	0		""		0	0	0		""						""	""		0	0	0	0	""	""		6588.61
1011900	92	"Live horses other than purebred breeding horses"	"number"	""	""		0	0	0	0	""	""	""	""	""	""	""	""		0	0	0		""		0	0	0		""		0	0	0		""		0	0	0		""						""	""		.2	.2	0	0	""	""		4168.53
1012010	92	"Live purebred breeding asses"	"number"	""	""		0	0	0	0	""	""	""	""	""	""	""	""		0	0	0		""		0	0	0		""		0	0	0		""		0	0	0		""						""	""		0	0	0	0	""	""		600
1012020	92	"Live asses other than purebred breeding asses"	"number"	""	""		.15	.15	0	0	""	""	""	""	""	""	""	"CA"		0	0	0		""		.15	.15	0		"E"		0	0	0		"IL"		0	0	0		""						""	""		.15	.15	0	0	""	""		2482
1012030	92	"Mules and hinnies imported for immediate slaughter"	"number"	""	""		0	0	0	0	""	""	""	""	""	""	""	""		0	0	0		""		0	0	0		""		0	0	0		""		0	0	0		""						""	""		0	0	0	0	""	""		200
1012040	92	"Mules and hinnies not imported for immediate slaughter"	"number"	""	""		.1	.1	0	0	""	""	""	""	""	""	""	"CA"		.06	.06	0		""		.1	.1	0		"E"		0	0	0		"IL"		0	0	0		""						""	""		.2	.2	0	0	""	""		
1021000	92	"Live purebred bovine breeding animals"	"number"	""	""		0	0	0	0	""	""	""	""	""	""	""	""		0	0	0		""		0	0	0		""		0	0	0		""		0	0	0		""						""	""		0	0	0	0	""	""		1001.02
1029020	92	"Cows imported specially for dairy purposes"	"number"	"kilograms"	""		0	0	0	0	""	""	""	""	""	""	""	""		0	0	0		""		0	0	0		""		0	0	0		""		0	0	0		""						""	""		.000078	0	.066	0	""	""		847.504
1029040	92	"Live bovine animals other than purebred or those imported for dairy purposes"	"number"	"kilograms"	""		.00004	0	.022	0	""	""	""	""	""	""	""	"CA"		7.3e-06	0	.004		""		.00004	0	.022		"E"		0	0	0		"IL"		0	0	0		""						""	""		.000101	0	.055	0	""	""		547.188
1031000	92	"Live purebred breeding swine"	"number"	""	""		0	0	0	0	""	""	""	""	""	""	""	""		0	0	0		""		0	0	0		""		0	0	0		""		0	0	0		""						""	""		0	0	0	0	""	""		985.667
1039100	92	"Live swine, other than purebred breeding swine, weighing less than 50 kg each"	"number"	"kilograms"	""		0	0	0	0	""	""	""	""	""	""	""	""		0	0	0		""		0	0	0		""		0	0	0		""		0	0	0		""						""	""		.00117	0	.044	0	""	""		37.6181
1039200	92	"Live swine, other than purebred breeding swine, weighing 50 kg or more"	"number"	"kilograms"	""		0	0	0	0	""	""	""	""	""	""	""	""		0	0	0		""		0	0	0		""		0	0	0		""		0	0	0		""						""	""		.000352	0	.044	0	""	""		125.032
1041000	92	"Live sheep"	"number"	"kilograms"	""		0	0	0	0	""	""	""	""	""	""	""	""		0	0	0		""		0	0	0		""		0	0	0		""		0	0	0		""						""	""		.041161	0	3	0	""	""		72.884
1042000	92	"Live goats"	"number"	""	""		.001882	0	1.5	0	""	""	""	""	""	""	""	"CA"		.000376	0	.3		""		.001882	0	1.5		"E"		0	0	0		"IL"		0	0	0		""						""	""		.003765	0	3	0	""	""		796.9
1051100	92	"Live chickens weighing not over 185 g each"	"number"	""	""		.019267	0	.02	0	""	""	""	""	""	""	""	"CA"		.01156	0	.012		""		.019267	0	.02		"E"		0	0	0		"IL"		0	0	0		""						""	""		.038533	0	.04	0	""	""		1.03806
1051900	92	"Live ducks, geese and guineas, weighing not more than 185 g each"	"number"	""	""		.014729	0	.02	0	""	""	""	""	""	""	""	"CA"		.008838	0	.012		""		.014729	0	.02		"E"		0	0	0		"IL"		0	0	0		""						""	""		.029459	0	.04	0	""	""		1.35782
1059100	92	"Live chickens weighing over 185 g each"	"number"	"kilograms"	""		.009255	0	.044	0	""	""	""	""	""	""	""	"CA"		.005469	0	.026		""		.009255	0	.044		"E"		0	0	0		"IL"		0	0	0		""						""	""		.037022	0	.176	0	""	""		4.75395
1059900	92	"Live ducks, geese, turkeys and guineas, weighing over 185 g each"	"number"	"kilograms"	""		.004739	0	.044	0	""	""	""	""	""	""	""	"CA"		.002801	0	.026		""		.004739	0	.044		"E"		0	0	0		"IL"		0	0	0		""						""	""		.018958	0	.176	0	""	""		9.28381
1060010	92	"Live birds, other than poultry"	"number"	""	""		.04	.04	0	0	"A"	""	""	""	""	""	""	"CA"		0	0	0		""		0	0	0		"E"		0	0	0		"IL"		0	0	0		""						""	""		.2	.2	0	0	""	""		16.015
1060030	92	"Live foxes"	"number"	""	""		.075	.075	0	0	""	""	""	""	""	""	""	"CA"		0	0	0		""		.075	.075	0		"E"		0	0	0		"IL"		0	0	0		""						""	""		.15	.15	0	0	""	""		76.0323
