hts8	year	brief_description	quantity_1_code	quantity_2_code	wto_binding_code	mfn_rate_type_code	mfn_ave	mfn_ad_val_rate	mfn_specific_rate	mfn_other_rate	gsp_indicator	gsp_ctry_excluded	gsp_ctry_excluded2	gsp_ctry_excluded3	gsp_ctry_excluded4	apta_indicator	civil_air_indicator	nafta_canada_ind	canada_rate_type_code	canada_ave	canada_ad_val_rate	canada_specific_rate	canada_other_rate	nafta_mexico_ind	mexico_rate_type_code	mexico_ave	mexico_ad_val_rate	mexico_specific_rate	mexico_other_rate	cbi_indicator	cbi_rate_type_code	cbi_ave	cbi_ad_val_rate	cbi_specific_rate	cbi_other_rate	israel_fta_indicator	israel_rate_type_code	israel_ave	israel_ad_val_rate	israel_specific_rate	israel_other_rate	atpa_indicator	atpa_rate_type_code	atpa_ave	atpa_ad_val_rate	atpa_specific_rate	atpa_other_rate	pharmaceutical_ind	dyes_indicator	col2_rate_type_code	col2_ave	col2_ad_val_rate	col2_specific_rate	col2_other_rate	begin_effect_date	end_effective_date	additional_tariff_num_ind	unitvalue
1011100	89	"Live purebred breeding horses"	"number"	""	""		0	0	0	0	""	""	""	""	""	""	""	""		0	0	0		""		0	0	0		""		0	0	0		""		0	0	0		""						""	""		0	0	0	0	""	""		8765.73
1011900	89	"Live horses other than purebred breeding horses"	"number"	""	""		0	0	0	0	""	""	""	""	""	""	""	""		0	0	0		""		0	0	0		""		0	0	0		""		0	0	0		""						""	""		.2	.2	0	0	""	""		4893.04
1012010	89	"Live purebred breeding asses"	"number"	""	""		0	0	0	0	""	""	""	""	""	""	""	""		0	0	0		""		0	0	0		""		0	0	0		""		0	0	0		""						""	""		0	0	0	0	""	""		1188.75
1012020	89	"Live asses other than purebred breeding asses"	"number"	""	""		.15	.15	0	0	""	""	""	""	""	""	""	"CA"		0	0	0		""		.15	.15	0		"E"		0	0	0		"IL"		0	0	0		""						""	""		.15	.15	0	0	""	""		672.5
1012030	89	"Mules and hinnies imported for immediate slaughter"	"number"	""	""		0	0	0	0	""	""	""	""	""	""	""	""		0	0	0		""		0	0	0		""		0	0	0		""		0	0	0		""						""	""		0	0	0	0	""	""		
1012040	89	"Mules and hinnies not imported for immediate slaughter"	"number"	""	""		.1	.1	0	0	""	""	""	""	""	""	""	"CA"		.09	.09	0		""		.1	.1	0		"E"		0	0	0		"IL"		0	0	0		""						""	""		.2	.2	0	0	""	""		
1021000	89	"Live purebred bovine breeding animals"	"number"	""	""		0	0	0	0	""	""	""	""	""	""	""	""		0	0	0		""		0	0	0		""		0	0	0		""		0	0	0		""						""	""		0	0	0	0	""	""		1174.31
1029020	89	"Cows imported specially for dairy purposes"	"number"	"kilograms"	""		0	0	0	0	""	""	""	""	""	""	""	""		0	0	0		""		0	0	0		""		0	0	0		""		0	0	0		""						""	""		.000076	0	.066	0	""	""		872.41
1029040	89	"Live bovine animals other than purebred or those imported for dairy purposes"	"number"	"kilograms"	""		.000049	0	.022	0	""	""	""	""	""	""	""	"CA"		.000038	0	.017		""		.000049	0	.022		"E"		0	0	0		"IL"		0	0	0		""						""	""		.000122	0	.055	0	""	""		449.59
1031000	89	"Live purebred breeding swine"	"number"	""	""		0	0	0	0	""	""	""	""	""	""	""	""		0	0	0		""		0	0	0		""		0	0	0		""		0	0	0		""						""	""		0	0	0	0	""	""		615.271
1039100	89	"Live swine, other than purebred breeding swine, weighing less than 50 kg each"	"number"	"kilograms"	""		0	0	0	0	""	""	""	""	""	""	""	""		0	0	0		""		0	0	0		""		0	0	0		""		0	0	0		""						""	""		.001145	0	.044	0	""	""		38.4189
1039200	89	"Live swine, other than purebred breeding swine, weighing 50 kg or more"	"number"	"kilograms"	""		0	0	0	0	""	""	""	""	""	""	""	""		0	0	0		""		0	0	0		""		0	0	0		""		0	0	0		""						""	""		.000423	0	.044	0	""	""		104.115
1041000	89	"Live sheep"	"number"	"kilograms"	""		0	0	0	0	""	""	""	""	""	""	""	""		0	0	0		""		0	0	0		""		0	0	0		""		0	0	0		""						""	""		.074964	0	3	0	""	""		40.0192
1042000	89	"Live goats"	"number"	""	""		.0064	0	1.5	0	""	""	""	""	""	""	""	"CA"		.00512	0	1.2		""		.0064	0	1.5		"E"		0	0	0		"IL"		0	0	0		""						""	""		.012799	0	3	0	""	""		234.385
1051100	89	"Live chickens weighing not over 185 g each"	"number"	""	""		.019781	0	.02	0	""	""	""	""	""	""	""	"CA"		.017803	0	.018		""		.019781	0	.02		"E"		0	0	0		"IL"		0	0	0		""						""	""		.039562	0	.04	0	""	""		1.01108
1051900	89	"Live ducks, geese and guineas, weighing not more than 185 g each"	"number"	""	""		.015374	0	.02	0	""	""	""	""	""	""	""	"CA"		.013837	0	.018		""		.015374	0	.02		"E"		0	0	0		"IL"		0	0	0		""						""	""		.030749	0	.04	0	""	""		1.30086
1059100	89	"Live chickens weighing over 185 g each"	"number"	"kilograms"	""		.025313	0	.044	0	""	""	""	""	""	""	""	"CA"		.022436	0	.039		""		.025313	0	.044		"E"		0	0	0		"IL"		0	0	0		""						""	""		.101251	0	.176	0	""	""		1.73826
1059900	89	"Live ducks, geese, turkeys and guineas, weighing over 185 g each"	"number"	"kilograms"	""		.005167	0	.044	0	""	""	""	""	""	""	""	"CA"		.00458	0	.039		""		.005167	0	.044		"E"		0	0	0		"IL"		0	0	0		""						""	""		.020667	0	.176	0	""	""		8.5158
1060010	89	"Live birds, other than poultry"	"number"	""	""		.04	.04	0	0	"A"	""	""	""	""	""	""	"CA"		0	0	0		""		0	0	0		"E"		0	0	0		"IL"		0	0	0		""						""	""		.2	.2	0	0	""	""		16.1933
1060030	89	"Live foxes"	"number"	""	""		.075	.075	0	0	""	""	""	""	""	""	""	"CA"		0	0	0		""		.075	.075	0		"E"		0	0	0		"IL"		0	0	0		""						""	""		.15	.15	0	0	""	""		179.044
1060050	89	"Live animals other than horses, asses, mules, hinnies, bovines, swine, sheep, goats, foxes or birds"	"not available"	""	""		0	0	0	0	""	""	""	""	""	""	""	""		0	0	0		""		0	0	0		""		0	0	0		""		0	0	0		""						""	""		.15	.15	0	0	""	""		1352.6
2011000	89	"Carcasses and half-carcasses of bovine animals, fresh or chilled"	"kilograms"	""	""		.017391	0	.044	0	""	""	""	""	""	""	""	"CA"		.015415	0	.039		""		.017391	0	.044		"E*"		0	0	0		"IL"		0	0	0		""						""	""		.052173	0	.132	0	""	""		2.53004
2012020	89	"Fancy retail beef cuts, fresh or chilled, bone in"	"kilograms"	""	""		.04	.04	0	0	""	""	""	""	""	""	""	"CA"		.036	.036	0		""		.04	.04	0		"E*"		0	0	0		"IL"		0	0	0		""						""	""		.2	.2	0	0	""	""		2.80865
2012040	89	"Retail cuts of meat of bovine animals, other than fancy retail beef cuts, fresh or chilled, bone in"	"kilograms"	""	""		.1	.1	0	0	""	""	""	""	""	""	""	"CA"		.09	.09	0		""		.1	.1	0		"E*"		0	0	0		"IL"		0	0	0		""						""	""		.2	.2	0	0	""	""		2.26591
2012060	89	"Non retail cuts of meat of bovine animals, other than carcasses and half-carcasses, fresh or chilled, bone in"	"kilograms"	""	""		.023954	0	.044	0	""	""	""	""	""	""	""	"CA"		.021232	0	.039		""		.023954	0	.044		"E*"		0	0	0		"IL"		0	0	0		""						""	""		.071863	0	.132	0	""	""		1.83684
2013020	89	"Fancy retail beef cuts, fresh or chilled, boneless"	"kilograms"	""	""		.04	.04	0	0	""	""	""	""	""	""	""	"CA"		.036	.036	0		""		.04	.04	0		"E*"		0	0	0		"IL"		0	0	0		""						""	""		.2	.2	0	0	""	""		2.30247
2013040	89	"Retail cuts of meat of bovine animals, other than fancy retail beef cuts, fresh or chilled, boneless"	"kilograms"	""	""		.1	.1	0	0	""	""	""	""	""	""	""	"CA"		.09	.09	0		""		.1	.1	0		"E*"		0	0	0		"IL"		0	0	0		""						""	""		.2	.2	0	0	""	""		1.9003
2013060	89	"Non retail cuts of meat of bovine animals, other than carcasses and half-carcasses, fresh or chilled, boneless"	"kilograms"	""	""		.018754	0	.044	0	""	""	""	""	""	""	""	"CA"		.016623	0	.039		""		.018754	0	.044		"E*"		0	0	0		"IL"		0	0	0		""						""	""		.056262	0	.132	0	""	""		2.34617
2021000	89	"Carcasses and half-carcasses of bovine animals, frozen"	"kilograms"	""	""		.016682	0	.044	0	""	""	""	""	""	""	""	"CA"		.014786	0	.039		""		.016682	0	.044		"E*"		0	0	0		"IL"		0	0	0		""						""	""		.050046	0	.132	0	""	""		2.63755
2022020	89	"Fancy retail beef cuts, frozen, bone in"	"kilograms"	""	""		.04	.04	0	0	""	""	""	""	""	""	""	"CA"		.036	.036	0		""		.04	.04	0		"E*"		0	0	0		"IL"		0	0	0		""						""	""		.2	.2	0	0	""	""		1.12887
2022040	89	"Retail cuts of meat of bovine animals, other than fancy retail beef cuts, frozen, bone in"	"kilograms"	""	""		.1	.1	0	0	""	""	""	""	""	""	""	"CA"		.09	.09	0		""		.1	.1	0		"E*"		0	0	0		"IL"		0	0	0		""						""	""		.2	.2	0	0	""	""		
2022060	89	"Non retail cuts of meat of bovine animals, other than carcasses or half-carcasses, frozen, bone in"	"kilograms"	""	""		.021611	0	.044	0	""	""	""	""	""	""	""	"CA"		.019155	0	.039		""		.021611	0	.044		"E*"		0	0	0		"IL"		0	0	0		""						""	""		.064833	0	.132	0	""	""		2.03601
2023020	89	"Fancy retail beef cuts, frozen, boneless"	"kilograms"	""	""		.04	.04	0	0	""	""	""	""	""	""	""	"CA"		.036	.036	0		""		.04	.04	0		"E*"		0	0	0		"IL"		0	0	0		""						""	""		.2	.2	0	0	""	""		2.86067
2023040	89	"Retail cuts of meat of bovine animals, other than fancy retail beef cuts, frozen, boneless"	"kilograms"	""	""		.1	.1	0	0	""	""	""	""	""	""	""	"CA"		.09	.09	0		""		.1	.1	0		"E*"		0	0	0		"IL"		0	0	0		""						""	""		.2	.2	0	0	""	""		2.16194
2023060	89	"Non retail cuts of meat of bovine animals, other than carcasses and half-carcasses, frozen, boneless"	"kilograms"	""	""		.019181	0	.044	0	""	""	""	""	""	""	""	"CA"		.017001	0	.039		""		.019181	0	.044		"E*"		0	0	0		"IL"		0	0	0		""						""	""		.057543	0	.132	0	""	""		2.29395
2031100	89	"Carcasses and half-carcasses of swine, fresh or chilled"	"kilograms"	""	""		0	0	0	0	""	""	""	""	""	""	""	""		0	0	0		""		0	0	0		""		0	0	0		""		0	0	0		""						""	""		.030645	0	.055	0	""	""		1.79474
2031210	89	"Fresh or chilled retail cuts of ham, shoulders and cuts thereof, with bone in"	"kilograms"	""	""		.006376	0	.022	0	""	""	""	""	""	""	""	"CA"		.004927	0	.017		""		.006376	0	.022		"E"		0	0	0		"IL"		0	0	0		""						""	""		.020867	0	.072	0	""	""		3.45045
2031290	89	"Fresh or chilled hams, shoulders and cuts thereof, with bone in, other than processed"	"kilograms"	""	""		0	0	0	0	""	""	""	""	""	""	""	""		0	0	0		""		0	0	0		""		0	0	0		""		0	0	0		""						""	""		.033003	0	.055	0	""	""		1.6665
2031920	89	"Meat of swine nesi, retail cuts, fresh or chilled"	"kilograms"	""	""		.009403	0	.022	0	""	""	""	""	""	""	""	"CA"		.007266	0	.017		""		.009403	0	.022		"E"		0	0	0		"IL"		0	0	0		""						""	""		.030774	0	.072	0	""	""		2.33967
2031940	89	"Meat of swine, nesi, non retail cuts, fresh or chilled"	"kilograms"	""	""		0	0	0	0	""	""	""	""	""	""	""	""		0	0	0		""		0	0	0		""		0	0	0		""		0	0	0		""						""	""		.031652	0	.055	0	""	""		1.73767
2032100	89	"Carcasses and half-carcasses of swine, frozen"	"kilograms"	""	""		0	0	0	0	""	""	""	""	""	""	""	""		0	0	0		""		0	0	0		""		0	0	0		""		0	0	0		""						""	""		.037277	0	.055	0	""	""		1.47545
2032210	89	"Frozen retail cuts of hams, shoulders and cuts thereof, with bone in"	"kilograms"	""	""		.013023	0	.022	0	""	""	""	""	""	""	""	"CA"		.010063	0	.017		""		.013023	0	.022		"E"		0	0	0		"IL"		0	0	0		""						""	""		.04262	0	.072	0	""	""		1.68933
2032290	89	"Frozen hams, shoulders and cuts thereof, with bone in, other than retail cuts"	"kilograms"	""	""		0	0	0	0	""	""	""	""	""	""	""	""		0	0	0		""		0	0	0		""		0	0	0		""		0	0	0		""						""	""		.034741	0	.055	0	""	""		1.58313
2032920	89	"Frozen retail cuts of meat of swine, nesi"	"kilograms"	""	""		.015872	0	.022	0	""	""	""	""	""	""	""	"CA"		.012265	0	.017		""		.015872	0	.022		"E"		0	0	0		"IL"		0	0	0		""						""	""		.051944	0	.072	0	""	""		1.38611
2032940	89	"Frozen meat of swine, other than retail cuts, nesi"	"kilograms"	""	""		0	0	0	0	""	""	""	""	""	""	""	""		0	0	0		""		0	0	0		""		0	0	0		""		0	0	0		""						""	""		.029036	0	.055	0	""	""		1.89422
