hts8	year	brief_description	quantity_1_code	quantity_2_code	wto_binding_code	mfn_rate_type_code	mfn_ave	mfn_ad_val_rate	mfn_specific_rate	mfn_other_rate	gsp_indicator	gsp_ctry_excluded	gsp_ctry_excluded2	gsp_ctry_excluded3	gsp_ctry_excluded4	apta_indicator	civil_air_indicator	nafta_canada_ind	canada_rate_type_code	canada_ave	canada_ad_val_rate	canada_specific_rate	canada_other_rate	nafta_mexico_ind	mexico_rate_type_code	mexico_ave	mexico_ad_val_rate	mexico_specific_rate	mexico_other_rate	cbi_indicator	cbi_rate_type_code	cbi_ave	cbi_ad_val_rate	cbi_specific_rate	cbi_other_rate	israel_fta_indicator	israel_rate_type_code	israel_ave	israel_ad_val_rate	israel_specific_rate	israel_other_rate	atpa_indicator	atpa_rate_type_code	atpa_ave	atpa_ad_val_rate	atpa_specific_rate	atpa_other_rate	pharmaceutical_ind	dyes_indicator	col2_rate_type_code	col2_ave	col2_ad_val_rate	col2_specific_rate	col2_other_rate	begin_effect_date	end_effective_date	additional_tariff_num_ind	unitvalue
1011100	95	"Live purebred breeding horses"	"number"	""	""		0	0	0	0	""	""	""	""	""	""	""	""		0	0	0		""		0	0	0		""		0	0	0		""		0	0	0		""		0				""	""		0	0	0	0	""	""		5975.15
1011900	95	"Live horses other than purebred breeding horses"	"number"	""	""		0	0	0	0	""	""	""	""	""	""	""	""		0	0	0		""		0	0	0		""		0	0	0		""		0	0	0		""		0				""	""		.2	.2	0	0	""	""		2156.67
1012010	95	"Live purebred breeding asses"	"number"	""	""		0	0	0	0	""	""	""	""	""	""	""	""		0	0	0		""		0	0	0		""		0	0	0		""		0	0	0		""		0				""	""		0	0	0	0	""	""		2500
1012020	95	"Live asses other than purebred breeding asses"	"number"	""	""		.136	.136	0	0	""	""	""	""	""	""	""	"CA"		0	0	0		"MX"		0	0	0		"E"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.15	.15	0	0	""	""		589.298
1012030	95	"Mules and hinnies imported for immediate slaughter"	"number"	""	""		0	0	0	0	""	""	""	""	""	""	""	""		0	0	0		""		0	0	0		""		0	0	0		""		0	0	0		""		0				""	""		0	0	0	0	""	""		
1012040	95	"Mules and hinnies not imported for immediate slaughter"	"number"	""	""		.091	.091	0	0	""	""	""	""	""	""	""	"CA"		.03	.03	0		"MX"		0	0	0		"E"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.2	.2	0	0	""	""		1000
1021000	95	"Live purebred bovine breeding animals"	"number"	""	""		0	0	0	0	""	""	""	""	""	""	""	""		0	0	0		""		0	0	0		""		0	0	0		""		0	0	0		""		0				""	""		0	0	0	0	""	""		505.713
1029020	95	"Cows imported specially for dairy purposes"	"number"	"kilograms"	""		0	0	0	0	""	""	""	""	""	""	""	""		0	0	0		""		0	0	0		""		0	0	0		""		0	0	0		""		0				""	""		.000078	0	.066	0	""	""		844.258
1029040	95	"Live bovine animals other than purebred or those imported for dairy purposes"	"number"	"kilograms"	""		.00004	0	.02	0	""	""	""	""	""	""	""	"CA"		0	0	0		"MX"		0	0	0		"E"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.000109	0	.055	0	""	""		503.968
1031000	95	"Live purebred breeding swine"	"number"	""	""		0	0	0	0	""	""	""	""	""	""	""	""		0	0	0		""		0	0	0		""		0	0	0		""		0	0	0		""		0				""	""		0	0	0	0	""	""		566.608
1039100	95	"Live swine, other than purebred breeding swine, weighing less than 50 kg each"	"number"	"kilograms"	""		0	0	0	0	""	""	""	""	""	""	""	""		0	0	0		""		0	0	0		""		0	0	0		""		0	0	0		""		0				""	""		.001451	0	.044	0	""	""		30.3191
1039200	95	"Live swine, other than purebred breeding swine, weighing 50 kg or more"	"number"	"kilograms"	""		0	0	0	0	""	""	""	""	""	""	""	""		0	0	0		""		0	0	0		""		0	0	0		""		0	0	0		""		0				""	""		.000411	0	.044	0	""	""		107.15
1041000	95	"Live sheep"	"number"	"kilograms"	""		0	0	0	0	""	""	""	""	""	""	""	""		0	0	0		""		0	0	0		""		0	0	0		""		0	0	0		""		0				""	""		.028483	0	3	0	""	""		105.326
1042000	95	"Live goats"	"number"	""	""		.001844	0	1.36	0	""	""	""	""	""	""	""	"CA"		0	0	0		"MX"		0	0	0		"E"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.004067	0	3	0	""	""		737.669
1051100	95	"Live chickens weighing not over 185 g each"	"number"	""	""		.011629	0	.018	0	""	""	""	""	""	""	""	"CA"		.003876	0	.006		"MX"		0	0	0		"E"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.025842	0	.04	0	""	""		1.54789
1051900	95	"Live ducks, geese and guineas, weighing not more than 185 g each"	"number"	""	""		.010554	0	.018	0	""	""	""	""	""	""	""	"CA"		.003518	0	.006		"MX"		0	0	0		"E"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.023454	0	.04	0	""	""		1.70544
1059100	95	"Live chickens weighing over 185 g each"	"number"	"kilograms"	""		.016075	0	.04	0	""	""	""	""	""	""	""	"CA"		.005224	0	.013		"MX"		0	0	0		"E"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.070731	0	.176	0	""	""		2.4883
1059900	95	"Live ducks, geese, turkeys and guineas, weighing over 185 g each"	"number"	"kilograms"	""		.004342	0	.04	0	""	""	""	""	""	""	""	"CA"		.001411	0	.013		"MX"		0	0	0		"E"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.019106	0	.176	0	""	""		9.21157
1060010	95	"Live birds, other than poultry"	"number"	""	""		.036	.036	0	0	"A"	""	""	""	""	""	""	"CA"		0	0	0		"MX"		0	0	0		"E"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.2	.2	0	0	""	""		9.63911
1060030	95	"Live foxes"	"number"	""	""		.07	.07	0	0	""	""	""	""	""	""	""	"CA"		0	0	0		"MX"		0	0	0		"E"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.15	.15	0	0	""	""		80
1060050	95	"Live animals other than horses, asses, mules, hinnies, bovines, swine, sheep, goats, foxes or birds"	"not available"	""	""		0	0	0	0	""	""	""	""	""	""	""	""		0	0	0		""		0	0	0		""		0	0	0		""		0	0	0		""		0				""	""		.15	.15	0	0	""	""		211.065
2011005	95	"Bovine carcasses and halves, fresh or chld., descr. in gen. note 15 of the HTS"	"kilograms"	""	""		.013181	0	.044	0	""	""	""	""	""	""	""	"CA"		0	0	0		"MX"		0	0	0		"E*"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.039543	0	.132	0	""	""		3.33812
2011010	95	"Bovine carcasses and halves, fresh or chld., descr. in add. US note 3 to Ch. 2"	"kilograms"	""	""		.014579	0	.044	0	""	""	""	""	""	""	""	"CA"		0	0	0		"MX"		0	0	0		"E*"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.043737	0	.132	0	""	""		3.01807
2011050	95	""	"kilograms"	""	""		.303	.303	0	0	""	""	""	""	""	""	""	""		.303	.303	0		"MX"		0	0	0		""		.303	.303	0		""		.303	.303	0		""		.303				""	""		.311	.311	0	0	""	""		
2012002	95	"High-qual. beef cuts w/bone in, processed, fresh or chld., descr in gen. note 15 of the HTS"	"kilograms"	""	""		.04	.04	0	0	""	""	""	""	""	""	""	"CA"		0	0	0		"MX"		0	0	0		"E*"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.2	.2	0	0	""	""		4.44602
2012004	95	"Bovine meat cuts (except high-qual. beef cuts), w/bone in, processed, fresh or chld., descr in gen. note 15 of the HTS"	"kilograms"	""	""		.1	.1	0	0	""	""	""	""	""	""	""	"CA"		0	0	0		"MX"		0	0	0		"E*"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.2	.2	0	0	""	""		2.18958
2012006	95	"Bovine meat cuts, w/bone in, not processed, fresh or chld., descr in gen. note 15 of the HTS"	"kilograms"	""	""		.014705	0	.044	0	""	""	""	""	""	""	""	"CA"		0	0	0		"MX"		0	0	0		"E*"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.044116	0	.132	0	""	""		2.99214
2012010	95	"High-qual. beef cuts, w/bone in, processed, fresh or chld., descr in add. US note 3 to Ch. 2"	"kilograms"	""	""		.04	.04	0	0	""	""	""	""	""	""	""	"CA"		0	0	0		"MX"		0	0	0		"E*"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.2	.2	0	0	""	""		1.46634
2012030	95	"Bovine meat cuts (except high-qual. beef cuts), w/bone in, processed, fresh or chld., descr in add. US note 3 to Ch. 2"	"kilograms"	""	""		.1	.1	0	0	""	""	""	""	""	""	""	"CA"		0	0	0		"MX"		0	0	0		"E*"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.2	.2	0	0	""	""		1.6127
2012050	95	"Bovine meat cuts, w/bone in, not processed, fresh or chld., descr in add. US note 3 to Ch. 2"	"kilograms"	""	""		.022178	0	.044	0	""	""	""	""	""	""	""	"CA"		0	0	0		"MX"		0	0	0		"E*"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.066534	0	.132	0	""	""		1.98393
2012080	95	"Bovine meat cuts, w/bone in, fresh or chld., not descr in gen. note 15 or add. US note 3 to Ch. 2"	"kilograms"	""	""		.303	.303	0	0	""	""	""	""	""	""	""	""		.303	.303	0		"MX"		0	0	0		""		.303	.303	0		""		.303	.303	0		""		.303				""	""		.311	.311	0	0	""	""		2.43979
2013002	95	"High-qual. beef cuts, boneless, processed, fresh or chld., descr in gen. note 15 of the HTS"	"kilograms"	""	""		.04	.04	0	0	""	""	""	""	""	""	""	"CA"		0	0	0		"MX"		0	0	0		"E*"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.2	.2	0	0	""	""		3.82696
2013004	95	"Bovine meat cuts (except high-qual. beef cuts), boneless, processed, fresh or chld., descr in gen. note 15 of the HTS"	"kilograms"	""	""		.1	.1	0	0	""	""	""	""	""	""	""	"CA"		0	0	0		"MX"		0	0	0		"E*"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.2	.2	0	0	""	""		2.21936
2013006	95	"Bovine meat cuts, boneless, not processed, fresh or chld., descr in gen. note 15 of the HTS"	"kilograms"	""	""		.019292	0	.044	0	""	""	""	""	""	""	""	"CA"		0	0	0		"MX"		0	0	0		"E*"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.057877	0	.132	0	""	""		2.28071
2013010	95	"High-qual. beef cuts, boneless, processed, fresh or chld., descr in add. US note 3 to Ch. 2"	"kilograms"	""	""		.04	.04	0	0	""	""	""	""	""	""	""	"CA"		0	0	0		"MX"		0	0	0		"E*"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.2	.2	0	0	""	""		2.34022
2013030	95	"Bovine meat cuts (except high-qual. beef cuts), boneless, processed, fresh or chld., descr in add. US note 3 to Ch. 2"	"kilograms"	""	""		.1	.1	0	0	""	""	""	""	""	""	""	"CA"		0	0	0		"MX"		0	0	0		"E*"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.2	.2	0	0	""	""		2.59245
2013050	95	"Bovine meat cuts, boneless, not processed, fresh or chld., descr in add. US note 3 to Ch. 2"	"kilograms"	""	""		.017614	0	.044	0	""	""	""	""	""	""	""	"CA"		0	0	0		"MX"		0	0	0		"E*"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.052843	0	.132	0	""	""		2.49799
2013080	95	"Bovine meat cuts, boneless, fresh or chld., not descr in gen. note 15 or add. US note 3 to Ch. 2"	"kilograms"	""	""		.303	.303	0	0	""	""	""	""	""	""	""	""		.303	.303	0		"MX"		0	0	0		""		.303	.303	0		""		.303	.303	0		""		.303				""	""		.311	.311	0	0	""	""		2.81515
