UNCode	Country_UN	Program1989	Program1990	Program1991	Program1992	Program1993	Program1994	Program1995	Program1996	Program1997	Program1998	Program1999	Program2000	Program2001		Program Code	Description
162260	EQ_GNEA	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+
582330	ESTONIA	Col2	Col2	Col2	MFN	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP
162300	ETHIOPIA	MFN	MFN	MFN	MFN	MFN	GSP	GSP	GSP	GSP+	GSP+	GSP+	GSP+	AGOA+
362380	FALK_IS	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP
722420	FIJI	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP
552460	FINLAND	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN
362540	FR_GUIAN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN
166380	FR_IND_O	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+
532500	FRANCE	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN
166240	G_BISAU	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	AGOA+
142660	GABON	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	GSP	GSP	AGOA
162700	GAMBIA	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+
462680	GEORGIA					MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	GSP
532800	GERMAN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN
582780	GERMAN_E	Col2	Col2											
162880	GHANA	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	AGOA
572920	GILBRALT	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP
