"Selected Nomen","Native Nomen","Reporter","Reporter Name","Product","Product Name","Partner","Partner Name","Tariff Year","Trade Year","Trade Source","DutyType","Simple Average","Weighted Average","Standard Deviation","Minimum Rate","Maximum Rate","Nbr of Total Lines","Nbr of DomesticPeaks","Nbr of InternationalPeaks","Imports Value in 1000 USD","Binding Coverage"
"I3","H1","484","Mexico","1020","Mining and agglomeration of lignite","840","United States",1999,1999,"CMT","AHS",0,0,0,0,0,4,0,0,773.401,
"I3","H1","484","Mexico","1020","Mining and agglomeration of lignite","840","United States",1999,1999,"CMT","BND",35,35,0,35,35,2,0,2,773.401,100
"I3","H1","484","Mexico","1020","Mining and agglomeration of lignite","840","United States",1999,1999,"CMT","MFN",13,13,0,13,13,4,0,0,773.401,
"I3","H1","484","Mexico","1020","Mining and agglomeration of lignite","840","United States",1999,1999,"CMT","PRF",0,0,0,0,0,4,,0,773.401,
"I3","H1","484","Mexico","1020","Mining and agglomeration of lignite","840","United States",2000,2000,"CMT","AHS",13,13,0,13,13,2,0,0,893.589,
"I3","H1","484","Mexico","1020","Mining and agglomeration of lignite","840","United States",2000,2000,"CMT","BND",35,35,0,35,35,2,0,2,893.589,100
"I3","H1","484","Mexico","1020","Mining and agglomeration of lignite","840","United States",2000,2000,"CMT","MFN",13,13,0,13,13,2,0,0,893.589,
"I3","H1","484","Mexico","1020","Mining and agglomeration of lignite","840","United States",2001,2001,"CMT","AHS",13,13,0,13,13,2,0,0,550.294,
"I3","H1","484","Mexico","1020","Mining and agglomeration of lignite","840","United States",2001,2001,"CMT","BND",35,35,0,35,35,2,0,2,550.294,100
"I3","H1","484","Mexico","1020","Mining and agglomeration of lignite","840","United States",2001,2001,"CMT","MFN",13,13,0,13,13,2,0,0,550.294,
"I3","H1","484","Mexico","1020","Mining and agglomeration of lignite","840","United States",2002,2002,"CMT","AHS",0,0,0,0,0,2,0,0,615.728,
"I3","H1","484","Mexico","1020","Mining and agglomeration of lignite","840","United States",2002,2002,"CMT","BND",35,35,0,35,35,2,0,2,615.728,100
"I3","H1","484","Mexico","1020","Mining and agglomeration of lignite","840","United States",2002,2002,"CMT","MFN",13,13,0,13,13,2,0,0,615.728,
"I3","H1","484","Mexico","1020","Mining and agglomeration of lignite","840","United States",2002,2002,"CMT","PRF",0,0,0,0,0,,,0,615.728,
"I3","H1","484","Mexico","1030","Extraction and agglomeration of peat","840","United States",1996,1996,"CMT","AHS",10,10,0,10,10,1,0,0,67.718,
"I3","H1","484","Mexico","1030","Extraction and agglomeration of peat","840","United States",1996,1996,"CMT","BND",35,35,0,35,35,1,0,1,67.718,100
"I3","H1","484","Mexico","1030","Extraction and agglomeration of peat","840","United States",1996,1996,"CMT","MFN",10,10,0,10,10,1,0,0,67.718,
"I3","H1","484","Mexico","1030","Extraction and agglomeration of peat","840","United States",1997,1997,"CMT","AHS",10,10,0,10,10,1,0,0,418.622,
"I3","H1","484","Mexico","1030","Extraction and agglomeration of peat","840","United States",1997,1997,"CMT","BND",35,35,0,35,35,1,0,1,418.622,100
"I3","H1","484","Mexico","1030","Extraction and agglomeration of peat","840","United States",1997,1997,"CMT","MFN",10,10,0,10,10,1,0,0,418.622,
"I3","H1","484","Mexico","1030","Extraction and agglomeration of peat","840","United States",1998,1998,"CMT","AHS",5,5,5,0,10,2,0,0,582.976,
