Reporter,Reporter Code,Partner Name,Partner Code,Tariff Indicator Name,Tariff Indicator Code,Product,Product Code,1989 [1989],1990 [1990],1991 [1991],1992 [1992],1993 [1993],1994 [1994]
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,080262 -- (2012-) -- Shelled,80262,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,080270 -- (2012-) - Kola nuts (Cola spp.),80270,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,080280 -- (2012-) - Areca nuts,80280,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,080290 -- - Other,80290,4.101063251,3.834531784,3.053990126,2.616718292,2.390159845,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,"080300 -- (-2011) Bananas, including plantains, fresh or dried.",80300,1,1,1,1,1,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,080310 -- (2012-) - Plantains,80310,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,080390 -- (2012-) - Other,80390,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,080410 -- - Dates,80410,21.02529335,20.25362778,19.01652718,17.12265587,15.83156967,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,080420 -- - Figs,80420,5.48901701,4.956686497,..,4.579693317,4.742706776,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,080430 -- - Pineapples,80430,1.409886956,1.41619122,1.520082355,1.555984378,1.569904923,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,080440 -- - Avocados,80440,..,7.523159027,8.038133621,8.795373917,9.531351089,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,"080450 -- - Guavas, mangoes and mangosteens",80450,3.790336609,3.678143263,5.209863186,5.454219818,5.873396397,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,080510 -- - Oranges,80510,4.047910213,3.912431002,3.652323008,3.711241961,3.914722919,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,"080520 -- - Mandarins (including tangerines and satsumas); clementines, wilkings and similar citrus hybrids",80520,2.960429907,2.678911924,2.453083992,2.361553907,2.492762089,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,"080530 -- (-2001) - Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia)",80530,3.120179415,3.022614479,2.993739605,3.211767435,3.442595959,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,"080540 -- - Grapefruit, including pomelos",80540,3.20552063,3.016988754,2.972382307,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,"080550 -- (2002-) - Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)",80550,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,080590 -- - Other,80590,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,080610 -- - Fresh,80610,0,0,0,0,0,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,080620 -- - Dried,80620,3.059961319,2.925648451,2.934211016,2.854030609,2.92295146,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,080710 -- (-1995) Melons (including watermelons),80710,19.5,19.5,19.5,19.5,19.5,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,080711 -- (1996-) -- Watermelons,80711,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,080719 -- (1996-) -- Other,80719,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,080720 -- - Papaws (papayas),80720,8.5,8.5,8.5,8.5,8.5,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,080810 -- - Apples,80810,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,080820 -- (-2011) - Pears and quinces,80820,..,0.71361047,..,0.63993001,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,080830 -- (2012-) - Pears,80830,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,080840 -- (2012-) - Quinces,80840,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,080910 -- - Apricots,80910,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,080920 -- (-2011) - Cherries,80920,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,080921 -- (2012-) -- Sour cherries (Prunus cerasus),80921,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,080929 -- (2012-) -- Other,80929,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,"080930 -- - Peaches, including nectarines",80930,0.234714746,0.209574595,0.192073897,0.181076095,0.185451105,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,080940 -- - Plums and sloes,80940,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,081010 -- - Strawberries,81010,0.523699999,0.491245806,0.488416195,0.458175838,0.47567144,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,"081020 -- - Raspberries, blackberries, mulberries and loganberries",81020,..,..,0.254697263,0.239530802,0.217130855,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,"081030 -- (-2006, 2012-) - Black, white or red currants and gooseberries",81030,..,..,..,..,0,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,"081040 -- - Cranberries, bilberries and other fruits of the genus Vaccinium",81040,..,..,..,0,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,081050 -- (1996-) - Kiwifruit,81050,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,081060 -- (2002-) - Durians,81060,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,081070 -- (2012-) - Persimmons,81070,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,081090 -- - Other,81090,1.700000048,1.700000048,1.700000048,1.700000048,1.700000048,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,081110 -- - Strawberries,81110,14,14,14,14,14,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,"081120 -- - Raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries",81120,10.5,..,10.5,10.5,10.5,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,081190 -- - Other,81190,7.774274349,9.44890976,9.447208405,9.444663048,9.445645332,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,081210 -- - Cherries,81210,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,081220 -- (-2001) - Strawberries,81220,3.143790007,2.628693104,2.109441996,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,081290 -- - Other,81290,3.926738024,3.94132185,3.937913895,3.943743944,3.968632221,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,081310 -- - Apricots,81310,0.844136178,0.832915723,0.833894193,0.818055093,0.826590776,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,081320 -- - Prunes,81320,10.16567039,10.1187849,10.06937027,9.946755409,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,081330 -- - Apples,81330,0.559551716,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,081340 -- - Other fruit,81340,5.087988853,5.047911644,5.026790142,5.005332947,5.045256138,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,081350 -- - Mixtures of nuts or dried fruits of this Chapter,81350,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,"081400 -- Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions.",81400,1.094367504,0.992072999,0.922318518,0.940373003,1.161448479,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,090111 -- -- Not decaffeinated,90111,0,0,0,0,0,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,090112 -- -- Decaffeinated,90112,0,0,0,0,0,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,090121 -- -- Not decaffeinated,90121,0,0,0,0,0,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,090122 -- -- Decaffeinated,90122,0,0,0,0,0,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,090130 -- (-1995) Coffee husks and skins,90130,..,..,..,..,0,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,090140 -- (-1995) Coffee substitutes containing coffee,90140,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,090190 -- (1996-) - Other,90190,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,090210 -- - Green tea (not fermented) in immediate packings of a content not exceeding 3 kg,90210,0,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,090220 -- - Other green tea (not fermented),90220,..,..,..,..,0,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,"090230 -- - Black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3 kg",90230,..,..,0,0,0,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,090240 -- - Other black tea (fermented) and other partly fermented tea,90240,0,..,..,..,0,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,090300 -- Maté.,90300,..,..,..,..,0,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,090411 -- -- Neither crushed nor ground,90411,0,0,0,0,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,090412 -- -- Crushed or ground,90412,0,0,0,0,0,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,"090420 -- (-2011) - Fruits of the genus Capsicum or of the genus Pimenta, dried or crushed or ground",90420,3.197034121,2.906481981,2.809684038,2.845491886,2.915904045,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,"090421 -- (2012-) -- Dried, neither crushed nor ground",90421,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,090422 -- (2012-) -- Crushed or ground,90422,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,090500 -- (-2011) Vanilla.,90500,0,0,0,0,0,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,090510 -- (2012-) - Neither crushed nor ground,90510,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,090520 -- (2012-) - Crushed or ground,90520,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,090610 -- (-2006)  - Neither crushed nor ground,90610,..,..,..,..,0,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,090611 -- (2007-) -- Cinnamon (Cinnamomum zeylanicum Blume),90611,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,090619 -- (2007-) -- Other,90619,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,090620 -- - Crushed or ground,90620,0,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,"090700 -- (-2011) Cloves (whole fruit, cloves and stems).",90700,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,090710 -- (2012-) - Neither crushed nor ground,90710,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,090720 -- (2012-) - Crushed or ground,90720,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,090810 -- (-2011) - Nutmeg,90810,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,090811 -- (2012-) -- Neither crushed nor ground,90811,..,..,..,..,..,..
